,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
golo,259,29.0,12.0,17.0,87.0,0.2159229708431836,0.2688407632556568,0.07127048297115306,0.07127048297115306,5.710424710424711,MALE,1781
adolf,121,29.0,14.0,15.0,41.0,0.16561391843971632,0.212871496116177,0.061386881965767,0.061386881965767,5.082644628099173,MALE,1781
genovefa,138,22.0,10.0,12.0,55.0,0.0828473277608916,0.05266696217494089,0.039997809442943684,0.039997809442943684,4.782608695652174,FEMALE,1781
mathilde,256,19.0,8.0,11.0,72.0,0.07270910728357537,0.04824172576832151,0.08539921672596426,0.08539921672596426,3.09375,FEMALE,1781
siegfried,103,15.0,6.0,9.0,28.0,0.08393595913542723,0.11887770178993583,0.01720649926371509,0.01720649926371509,2.4466019417475726,MALE,1781
anne,54,10.0,4.0,6.0,17.0,0.0069834937521107724,0.02098425363053022,0.021811699604015182,0.021811699604015182,1.8888888888888888,FEMALE,1781
christine,70,14.0,7.0,7.0,16.0,0.02322378419452887,0.0065159574468085105,0.06382788581559187,0.06382788581559187,1.5999999999999999,FEMALE,1781
brandfuchs,45,7.0,3.0,4.0,15.0,0.019674518743667678,0.013297872340425532,0.023106759347273576,0.023106759347273576,1.3333333333333333,MALE,1781
steffen,39,10.0,5.0,5.0,10.0,0.039762397275695145,0.08892793819655521,0.02812847891598548,0.02812847891598548,1.282051282051282,MALE,1781
zweyter_moerder,25,7.0,3.0,4.0,8.0,0.003775118203309693,0.0008126477541371158,0.012677980581528974,0.012677980581528974,1.28,MALE,1781
julie,95,12.0,6.0,6.0,19.0,0.011452704604300352,0.01603132387706856,0.03654229305547764,0.03654229305547764,1.2000000000000002,FEMALE,1781
dragones,69,12.0,6.0,6.0,13.0,0.021078183046268153,0.07820943093549476,0.02435968821262406,0.02435968821262406,1.1304347826086958,MALE,1781
carl,60,10.0,5.0,5.0,13.0,0.03655929866036249,0.060682624113475164,0.024962440888049817,0.024962440888049817,1.0833333333333335,MALE,1781
margrethe,29,6.0,3.0,3.0,10.0,0.0042943684566024995,0.010231973995271869,0.040658073695622764,0.040658073695622764,1.0344827586206897,FEMALE,1781
alle_5-11,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004708759246589692,0.004708759246589692,1.0,,1781
bedienter_4-16,1,2.0,1.0,1.0,1.0,0.0009013002364066193,0.011044621749408984,0.007099738981381717,0.007099738981381717,1.0,MALE,1781
franciskaner,21,7.0,3.0,4.0,5.0,0.04482491134751773,0.06096546774738263,0.012175117328719186,0.012175117328719186,0.9523809523809523,MALE,1781
erster_moerder,25,5.0,2.0,3.0,7.0,0.001976739277271192,0.027703900709219857,0.008795545751976226,0.008795545751976226,0.8400000000000001,MALE,1781
schmerzenreich,20,3.0,1.0,2.0,8.0,0.0,0.0,0.007181408603727006,0.007181408603727006,0.8,MALE,1781
wallrod,55,9.0,5.0,4.0,10.0,0.004939913317572892,0.026415273556231005,0.024491660355803843,0.024491660355803843,0.7272727272727273,MALE,1781
kammerfrau,3,2.0,1.0,1.0,2.0,0.0,0.0,0.006101437904689802,0.006101437904689802,0.6666666666666666,FEMALE,1781
adam,84,11.0,8.0,3.0,15.0,0.010399956377349993,0.001588356973995272,0.059774456339970986,0.059774456339970986,0.5357142857142857,MALE,1781
waechter_1-1,2,1.0,0.0,1.0,1.0,0.0,0.0,0.004708759246589692,0.004708759246589692,0.5,MALE,1781
zweyter_waechter,8,3.0,1.0,2.0,2.0,0.013297872340425532,0.013297872340425532,0.005981449185169647,0.005981449185169647,0.5,MALE,1781
bernhard,65,7.0,4.0,3.0,10.0,0.022429078014184405,0.028896487673083417,0.027595287348016265,0.027595287348016265,0.46153846153846156,MALE,1781
heinrich,53,6.0,3.0,3.0,8.0,0.005787740628166161,0.0008865248226950354,0.020281663445702938,0.020281663445702938,0.4528301886792453,MALE,1781
ulrich,57,6.0,3.0,3.0,8.0,0.016186465721040197,0.008649949341438704,0.025943950176923407,0.025943950176923407,0.42105263157894735,MALE,1781
waechter_3-7,10,4.0,2.0,2.0,2.0,0.0,0.019134160756501185,0.008198077183742785,0.008198077183742785,0.4,MALE,1781
oberjaeger,5,2.0,1.0,1.0,1.0,0.0,0.0,0.03135176865787482,0.03135176865787482,0.2,MALE,1781
erster_waechter,6,2.0,1.0,1.0,1.0,0.0,0.0,0.008526829062329554,0.008526829062329554,0.16666666666666666,MALE,1781
foerster,9,2.0,1.0,1.0,1.0,0.0,0.0,0.03135176865787482,0.03135176865787482,0.1111111111111111,MALE,1781
erster_bedienter_4-14,9,3.0,2.0,1.0,1.0,0.0005540780141843971,0.001514479905437352,0.009188756968531882,0.009188756968531882,0.1111111111111111,MALE,1781
christoph,11,3.0,2.0,1.0,1.0,0.0,0.0,0.012102478562506474,0.012102478562506474,0.09090909090909091,MALE,1781
doctor,15,2.0,1.0,1.0,1.0,0.0,0.0,0.00677854959411516,0.00677854959411516,0.06666666666666667,MALE,1781
chor_stimmen,16,2.0,1.0,1.0,1.0,0.0,0.0,0.03135176865787482,0.03135176865787482,0.0625,,1781
ein_mann,1,1.0,1.0,0.0,0.0,0.0,0.0,0.005981449185169647,0.005981449185169647,0.0,MALE,1781
jaeger_5-9,1,1.0,1.0,0.0,0.0,0.0,0.0,0.005231111215856238,0.005231111215856238,0.0,MALE,1781
bedienter_5-7,3,1.0,1.0,0.0,0.0,0.0,0.0,0.00884833994164063,0.00884833994164063,0.0,MALE,1781
im_wald,4,1.0,1.0,0.0,0.0,0.0,0.0,0.006340962799923428,0.006340962799923428,0.0,MALE,1781
bedienter_5-6d,3,1.0,1.0,0.0,0.0,0.0,0.0,0.006018179367795426,0.006018179367795426,0.0,MALE,1781
erwin,14,1.0,1.0,0.0,0.0,0.0,0.0,0.006275815154389332,0.006275815154389332,0.0,MALE,1781
blutrichter,4,1.0,1.0,0.0,0.0,0.0,0.0,0.005231111215856238,0.005231111215856238,0.0,MALE,1781
ein_andrer_4-8b,1,1.0,1.0,0.0,0.0,0.0,0.0,0.005981449185169647,0.005981449185169647,0.0,MALE,1781
maedchen,3,1.0,1.0,0.0,0.0,0.0,0.0,0.00532692158587402,0.00532692158587402,0.0,,1781
reitknecht,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0072541391237496,0.0072541391237496,0.0,MALE,1781
dritter_waechter,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0072509005369635945,0.0072509005369635945,0.0,MALE,1781
knappe,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0063015510595935634,0.0063015510595935634,0.0,MALE,1781
ritter_4-10,3,1.0,1.0,0.0,0.0,0.0,0.0,0.005716973857290737,0.005716973857290737,0.0,,1781
zweyter_bedienter_4-14,3,2.0,2.0,0.0,0.0,0.0,0.0,0.01321567402490464,0.01321567402490464,0.0,MALE,1781
knecht,1,,,,,,,,,,MALE,1781
soldat,1,,,,,,,,,,MALE,1781
alle_ritter_4-7,3,,,,,,,,,,,1781
herold,2,,,,,,,,,,MALE,1781
volk,3,,,,,,,,,,,1781
ein_weib,1,,,,,,,,,,FEMALE,1781
