,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
capitain,118,16.0,7.0,9.0,27.0,0.43005050505050507,0.5580808080808081,0.16610943161035746,0.16610943161035746,2.059322033898305,MALE,1820
schmuttler,12,5.0,1.0,4.0,5.0,0.006565656565656566,0.03409090909090909,0.024519876089171944,0.024519876089171944,1.6666666666666667,MALE,1820
knorzheimer,39,9.0,5.0,4.0,12.0,0.09520202020202022,0.07954545454545454,0.1455883283310809,0.1455883283310809,1.2307692307692308,MALE,1820
lieschen,108,11.0,5.0,6.0,21.0,0.10404040404040404,0.03787878787878788,0.1923097034766267,0.1923097034766267,1.1666666666666667,FEMALE,1820
tambour,1,1.0,0.0,1.0,1.0,0.0,0.0,0.014061053662028634,0.014061053662028634,1.0,MALE,1820
weigenand,37,6.0,2.0,4.0,9.0,0.001893939393939394,0.03535353535353535,0.03994133569933321,0.03994133569933321,0.972972972972973,MALE,1820
cornet,28,5.0,2.0,3.0,7.0,0.015151515151515152,0.13005050505050503,0.05033453913508009,0.05033453913508009,0.75,MALE,1820
eppelmeier,35,6.0,3.0,3.0,5.0,0.027651515151515153,0.007575757575757576,0.053653722908474054,0.053653722908474054,0.42857142857142855,MALE,1820
gretchen,50,5.0,3.0,2.0,8.0,0.003787878787878788,0.0,0.08098555502958128,0.08098555502958128,0.32,FEMALE,1820
miller,50,8.0,6.0,2.0,4.0,0.09406565656565657,0.20454545454545456,0.13681864322827658,0.13681864322827658,0.16,MALE,1820
dappelius,18,4.0,3.0,1.0,1.0,0.001893939393939394,0.007575757575757576,0.0570968810787887,0.0570968810787887,0.05555555555555555,MALE,1820
buchdrucker,3,1.0,1.0,0.0,0.0,0.0,0.0,0.019290464875600287,0.019290464875600287,0.0,MALE,1820
eine_stimme,1,1.0,1.0,0.0,0.0,0.0,0.0,0.019290464875600287,0.019290464875600287,0.0,UNKNOWN,1820
leimpfann,5,,,,,,,,,,MALE,1820
pompier,1,,,,,,,,,,MALE,1820
