,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
frenz,151,15.0,8.0,51.0,7.0,38.0,0.3923611111111111,0.3680555555555555,0.3813917890859724,0.3813917890859724,1.76158940397351,FEMALE,1835
madame_hammel,78,7.0,3.0,12.0,4.0,28.0,0.027777777777777776,0.041666666666666664,0.10753484308613016,0.10753484308613016,1.435897435897436,FEMALE,1835
peter,65,9.0,6.0,19.0,3.0,17.0,0.24305555555555555,0.3958333333333333,0.17914408845222968,0.17914408845222968,0.7846153846153847,MALE,1835
frau_hannlapps,36,5.0,2.0,6.0,3.0,8.0,0.010416666666666666,0.0625,0.06314598094070656,0.06314598094070656,0.6666666666666666,FEMALE,1835
herr_hammel,37,5.0,2.0,8.0,3.0,8.0,0.010416666666666666,0.15277777777777776,0.05387453708080445,0.05387453708080445,0.6486486486486487,MALE,1835
dorthee,52,5.0,2.0,11.0,3.0,9.0,0.017361111111111112,0.013888888888888888,0.0847349146479073,0.0847349146479073,0.5192307692307692,FEMALE,1835
lissbeth,15,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.01722553522660295,0.01722553522660295,0.4,FEMALE,1835
schwaebin,16,5.0,3.0,6.0,2.0,3.0,0.034722222222222224,0.027777777777777776,0.06058296190288616,0.06058296190288616,0.375,FEMALE,1835
susann,9,2.0,1.0,1.0,1.0,1.0,0.0,0.2708333333333333,0.026182674788380187,0.026182674788380187,0.1111111111111111,FEMALE,1835
schmidt,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.026182674788380187,0.026182674788380187,0.0,MALE,1835
