,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
scheik,317,27.0,11.0,32.0,16.0,88.0,0.5798015873015873,0.5839285714285716,0.19903251609501268,0.19903251609501268,4.441640378548896,MALE,1906
scheik_der_todeskarawane,103,11.0,6.0,25.0,5.0,19.0,0.05345238095238095,0.0775793650793651,0.12126543204801668,0.12126543204801668,0.9223300970873787,MALE,1906
phantasie,87,10.0,5.0,28.0,5.0,16.0,0.02884920634920635,0.009523809523809525,0.09905345979047732,0.09905345979047732,0.9195402298850575,FEMALE,1906
schefaka,88,10.0,5.0,19.0,5.0,11.0,0.015277777777777777,0.11845238095238096,0.08020133538309716,0.08020133538309716,0.625,FEMALE,1906
dritter_aeltester,10,3.0,1.0,3.0,2.0,3.0,0.15714285714285717,0.15714285714285717,0.03869104660965954,0.03869104660965954,0.6,MALE,1906
dritter_scheik,16,5.0,2.0,4.0,3.0,3.0,0.0035714285714285718,0.11984126984126987,0.028037614394691053,0.028037614394691053,0.5625,MALE,1906
babel,87,9.0,5.0,14.0,4.0,12.0,0.040714285714285724,0.1492063492063492,0.055486893322063864,0.055486893322063864,0.5517241379310345,MALE,1906
zweiter_scheik,17,4.0,2.0,5.0,2.0,4.0,0.0011904761904761906,0.0,0.02881528826215552,0.02881528826215552,0.47058823529411764,MALE,1906
erster_scheik,17,5.0,3.0,4.0,2.0,4.0,0.012182539682539685,0.012499999999999999,0.027019443703007146,0.027019443703007146,0.47058823529411764,MALE,1906
bibel,19,4.0,2.0,6.0,2.0,4.0,0.0007936507936507937,0.0,0.02929919088856018,0.02929919088856018,0.42105263157894735,FEMALE,1906
vierter_scheik,14,4.0,2.0,2.0,2.0,2.0,0.008611111111111113,0.0244047619047619,0.017611865002636975,0.017611865002636975,0.2857142857142857,MALE,1906
schatten_des_imam,8,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.007745324056941098,0.007745324056941098,0.25,UNKNOWN,1906
kadi,77,6.0,2.0,9.0,4.0,4.0,0.04285714285714286,0.04285714285714286,0.038348938161677615,0.038348938161677615,0.2077922077922078,MALE,1906
zweiter_aeltester,15,2.0,1.0,2.0,1.0,3.0,0.15476190476190477,0.15476190476190477,0.036407059495843136,0.036407059495843136,0.2,MALE,1906
vorbeter,30,4.0,2.0,12.0,2.0,3.0,0.0007936507936507937,0.006547619047619049,0.03509033299040724,0.03509033299040724,0.2,MALE,1906
hakawati,50,5.0,3.0,14.0,2.0,4.0,0.0,0.08571428571428572,0.04484222192802407,0.04484222192802407,0.16,MALE,1906
erster_aeltester,16,4.0,3.0,3.0,1.0,2.0,0.1523809523809524,0.1523809523809524,0.03372160168654318,0.03372160168654318,0.125,MALE,1906
imam,71,4.0,3.0,4.0,1.0,5.0,0.0035714285714285718,0.0035714285714285718,0.02695735595126286,0.02695735595126286,0.07042253521126761,MALE,1906
alle_1,21,2.0,1.0,1.0,1.0,1.0,0.0035714285714285718,0.0071428571428571435,0.018708541138837978,0.018708541138837978,0.047619047619047616,,1906
alle_2,27,2.0,1.0,1.0,1.0,1.0,0.0,0.0498015873015873,0.009667844599792344,0.009667844599792344,0.037037037037037035,,1906
schatten_des_kadi,8,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0143288498915,0.0143288498915,0.0,UNKNOWN,1906
alle_anallah,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.009667844599792344,0.009667844599792344,0.0,,1906
