,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
orpheus,80,12.0,6.0,15.0,6.0,25.0,0.3465277777777777,0.2791666666666667,0.1894219221762466,0.1894219221762466,1.875,MALE,1813
jupiter,90,12.0,5.0,14.0,7.0,18.0,0.4194444444444444,0.3645833333333333,0.13748446512924706,0.13748446512924706,1.4000000000000001,MALE,1813
amor,19,6.0,2.0,4.0,4.0,5.0,0.043055555555555555,0.09027777777777776,0.03528898453205293,0.03528898453205293,1.0526315789473684,MALE,1813
mars,5,3.0,1.0,1.0,2.0,2.0,0.0013888888888888887,0.0020833333333333333,0.022152521913743933,0.022152521913743933,0.8,MALE,1813
venus,29,8.0,4.0,7.0,4.0,5.0,0.14305555555555557,0.14930555555555552,0.07167000213210067,0.07167000213210067,0.6896551724137931,FEMALE,1813
apollo,18,5.0,2.0,2.0,3.0,4.0,0.08055555555555556,0.1534722222222222,0.06508651073151175,0.06508651073151175,0.6666666666666666,MALE,1813
euridice,26,5.0,2.0,4.0,3.0,5.0,0.12777777777777777,0.14791666666666667,0.040897743150964526,0.040897743150964526,0.576923076923077,FEMALE,1813
pluto,27,6.0,3.0,8.0,3.0,5.0,0.14166666666666666,0.19791666666666666,0.0625685867292291,0.0625685867292291,0.5555555555555556,MALE,1813
vulkan,9,6.0,4.0,4.0,2.0,2.0,0.005555555555555555,0.03888888888888888,0.07227290381190966,0.07227290381190966,0.4444444444444444,MALE,1813
proserpina,7,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.023874112211567926,0.023874112211567926,0.42857142857142855,FEMALE,1813
danaiden,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009968591653482371,0.009968591653482371,0.3333333333333333,,1813
juno,37,6.0,3.0,4.0,3.0,4.0,0.09097222222222223,0.12638888888888888,0.06308389113182744,0.06308389113182744,0.32432432432432434,FEMALE,1813
minerva,5,3.0,2.0,3.0,1.0,1.0,0.04444444444444444,0.08333333333333333,0.036784388155331846,0.036784388155331846,0.2,FEMALE,1813
ganymed,14,3.0,2.0,3.0,1.0,2.0,0.05555555555555555,0.06805555555555556,0.036784388155331846,0.036784388155331846,0.14285714285714285,MALE,1813
merkur,12,3.0,2.0,4.0,1.0,1.0,0.020833333333333332,0.05555555555555555,0.050511962256766824,0.050511962256766824,0.08333333333333333,MALE,1813
cerberus,18,3.0,2.0,7.0,1.0,1.0,0.0,0.05625,0.0592477191703111,0.0592477191703111,0.05555555555555555,MALE,1813
chor_alle,8,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.022901306958374418,0.022901306958374418,0.0,,1813
