,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
christine,93,12.0,6.0,6.0,20.0,0.4107142857142857,0.4464285714285714,0.21822515808469323,0.21822515808469323,1.2903225806451613,FEMALE,1875
bombardon,73,10.0,5.0,5.0,17.0,0.0,0.09821428571428571,0.16961522693007558,0.16961522693007558,1.1643835616438356,MALE,1875
therese,91,10.0,5.0,5.0,20.0,0.21428571428571427,0.21428571428571427,0.20683718222363429,0.20683718222363429,1.098901098901099,FEMALE,1875
gontran,75,8.0,4.0,4.0,16.0,0.0,0.17559523809523805,0.1454434145221104,0.1454434145221104,0.8533333333333334,MALE,1875
colas,82,8.0,4.0,4.0,14.0,0.0,0.13988095238095236,0.1457756873662506,0.1457756873662506,0.6829268292682927,MALE,1875
chor_der_maenner,3,1.0,0.0,1.0,1.0,0.0,0.0,0.019372185818313497,0.019372185818313497,0.3333333333333333,,1875
chor_der_maedchen,6,2.0,1.0,1.0,1.0,0.0,0.0,0.028162817002569226,0.028162817002569226,0.16666666666666666,,1875
chor_allgemeiner_chor_alle,6,2.0,1.0,1.0,1.0,0.0,0.0,0.037921490095464236,0.037921490095464236,0.16666666666666666,,1875
chor_der_frauen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.028646837956888865,0.028646837956888865,0.0,,1875
chor_der_soldaten,4,,,,,,,,,,,1875
