,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
salomon,38,10.0,4.0,6.0,13.0,0.13988095238095238,0.17857142857142855,0.1869791909138523,0.1869791909138523,2.0526315789473686,MALE,1875
assad,44,8.0,4.0,4.0,12.0,0.181547619047619,0.125,0.19947548091563277,0.19947548091563277,1.0909090909090908,MALE,1875
koenigin,45,6.0,3.0,3.0,12.0,0.12797619047619047,0.125,0.21678349145390516,0.21678349145390516,0.8,FEMALE,1875
baal-haanan,9,4.0,2.0,2.0,3.0,0.14285714285714285,0.19642857142857142,0.07528248852153058,0.07528248852153058,0.6666666666666666,MALE,1875
sulamith,23,5.0,2.0,3.0,3.0,0.08928571428571427,0.14285714285714285,0.07337843358961621,0.07337843358961621,0.3913043478260869,FEMALE,1875
chor_ganzer_chor_alle,22,3.0,1.0,2.0,2.0,0.10416666666666666,0.17857142857142855,0.056127377593534394,0.056127377593534394,0.18181818181818182,,1875
chor_der_maedchen_frauen_frauenchor,10,1.0,1.0,0.0,0.0,0.0,0.0,0.055587946759020034,0.055587946759020034,0.0,,1875
astaroth,7,2.0,2.0,0.0,0.0,0.0,0.0,0.07773379916806486,0.07773379916806486,0.0,FEMALE,1875
chor_der_priester,4,1.0,1.0,0.0,0.0,0.0,0.0,0.05865179108484346,0.05865179108484346,0.0,,1875
hohepriester,16,,,,,,,,,,MALE,1875
tempelwaechter,1,,,,,,,,,,MALE,1875
chor_der_saenger,1,,,,,,,,,,,1875
chor_des_volkes_einzelne_stimmen,2,,,,,,,,,,,1875
