,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
reich,53,12.0,5.0,8.0,7.0,16.0,0.1771978021978022,0.20054945054945056,0.07158748114306739,0.07158748114306739,2.1132075471698113,MALE,1849
falstaff,101,13.0,5.0,19.0,8.0,18.0,0.22252747252747254,0.24450549450549453,0.13693606131073963,0.13693606131073963,1.4257425742574257,MALE,1849
fluth,93,10.0,5.0,14.0,5.0,25.0,0.1057692307692308,0.07142857142857144,0.11378932427169877,0.11378932427169877,1.3440860215053763,MALE,1849
cajus,22,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.017130095069933952,0.017130095069933952,0.5454545454545454,MALE,1849
fenton,33,5.0,3.0,8.0,2.0,9.0,0.0027472527472527475,0.0,0.05519209695270976,0.05519209695270976,0.5454545454545454,MALE,1849
frau_fluth,126,7.0,4.0,22.0,3.0,22.0,0.037087912087912095,0.08791208791208792,0.18566581858353826,0.18566581858353826,0.5238095238095237,FEMALE,1849
anna,28,5.0,2.0,8.0,3.0,4.0,0.009615384615384616,0.01098901098901099,0.054602651670172225,0.054602651670172225,0.42857142857142855,FEMALE,1849
frau_reich,82,7.0,4.0,21.0,3.0,10.0,0.07692307692307693,0.12362637362637363,0.16847968229671947,0.16847968229671947,0.36585365853658536,FEMALE,1849
elfen,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.017130095069933952,0.017130095069933952,0.125,,1849
kellner,9,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.023596540775583194,0.023596540775583194,0.1111111111111111,MALE,1849
erster_buerger,10,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.03006298648123244,0.03006298648123244,0.1,MALE,1849
spaerlich,21,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.03208218327136572,0.03208218327136572,0.0,MALE,1849
die_maenner_1-12,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.020998889612706347,0.020998889612706347,0.0,,1849
zweiter_buerger,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.04914955271501604,0.04914955271501604,0.0,MALE,1849
einige-mehrere_buerger,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.023596540775583194,0.023596540775583194,0.0,,1849
