,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
bolzau,297,17.0,8.0,45.0,9.0,52.0,0.2916666666666667,0.2986111111111111,0.1601793038721293,0.1601793038721293,1.575757575757576,MALE,1862
hartwig,173,14.0,7.0,36.0,7.0,36.0,0.04166666666666666,0.16666666666666666,0.14619401782228095,0.14619401782228095,1.4566473988439306,MALE,1862
bertha,175,15.0,8.0,33.0,7.0,34.0,0.08333333333333333,0.16666666666666666,0.1406477959794044,0.1406477959794044,1.3599999999999999,FEMALE,1862
steinkirch,120,10.0,5.0,22.0,5.0,27.0,0.006944444444444444,0.034722222222222224,0.09774984295690593,0.09774984295690593,1.125,MALE,1862
ludmilla,79,10.0,5.0,19.0,5.0,16.0,0.006944444444444444,0.22916666666666666,0.07250970492602986,0.07250970492602986,1.0126582278481013,FEMALE,1862
scheffler,194,10.0,5.0,46.0,5.0,37.0,0.006944444444444444,0.0,0.17432039386793036,0.17432039386793036,0.9536082474226804,MALE,1862
wilhelmine,168,9.0,5.0,24.0,4.0,35.0,0.003472222222222222,0.0,0.09367697137364092,0.09367697137364092,0.8333333333333334,FEMALE,1862
schnake,78,9.0,4.0,17.0,5.0,6.0,0.003472222222222222,0.19444444444444442,0.07097525209570596,0.07097525209570596,0.38461538461538464,MALE,1862
brimborius,49,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.024491701651038394,0.024491701651038394,0.12244897959183673,MALE,1862
franz,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0192550154549342,0.0192550154549342,0.0,MALE,1862
