,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
sacco,156,16.0,6.0,10.0,33.0,0.11565868771751124,0.10249554367201426,0.12723432412943889,0.12723432412943889,2.1153846153846154,MALE,1928
katzmann,73,13.0,5.0,8.0,17.0,0.09698455139631612,0.10071301247771836,0.08923558286867352,0.08923558286867352,1.8630136986301369,MALE,1928
thayer,69,10.0,4.0,6.0,18.0,0.0575014854426619,0.07367795603089719,0.04366366071471394,0.04366366071471394,1.5652173913043477,MALE,1928
vanzetti,145,16.0,8.0,8.0,27.0,0.10810627281215518,0.11764705882352941,0.11416305625457025,0.11416305625457025,1.4896551724137932,MALE,1928
frau_bernkopf,4,2.0,0.0,2.0,2.0,0.0,0.0,0.007253673868677727,0.007253673868677727,1.0,FEMALE,1928
eine_frau_9,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007253673868677727,0.007253673868677727,1.0,FEMALE,1928
vierter_arbeiter,5,2.0,0.0,2.0,2.0,0.0,0.0,0.007253673868677727,0.007253673868677727,0.8,MALE,1928
fuller,56,14.0,8.0,6.0,7.0,0.0913547237076649,0.09239453357100415,0.06523800331928395,0.06523800331928395,0.75,MALE,1928
rosa,48,6.0,2.0,4.0,8.0,0.010304727951786776,0.0017825311942959,0.02173007842608035,0.02173007842608035,0.6666666666666666,FEMALE,1928
rufe_viele_stimmen_gesang_12,24,4.0,0.0,4.0,4.0,0.0,0.0,0.007253673868677727,0.007253673868677727,0.6666666666666666,,1928
mcanarney,10,3.0,1.0,2.0,3.0,0.016934046345811048,0.01693404634581105,0.04783174277724159,0.04783174277724159,0.6,MALE,1928
frau_johnson,2,2.0,1.0,1.0,1.0,0.0,0.0,0.010531047962578064,0.010531047962578064,0.5,FEMALE,1928
thompson,49,12.0,8.0,4.0,6.0,0.06366819455054748,0.12091503267973855,0.0723324981348795,0.0723324981348795,0.4897959183673469,MALE,1928
luigia,13,5.0,3.0,2.0,3.0,0.0101010101010101,0.0071301247771836,0.017668445399324727,0.017668445399324727,0.46153846153846156,FEMALE,1928
zweiter_arbeiter,10,3.0,1.0,2.0,2.0,0.018716577540106947,0.01871657754010695,0.008795081578281948,0.008795081578281948,0.4,MALE,1928
madeiros,20,6.0,4.0,2.0,4.0,0.01742636448518801,0.010249554367201425,0.030762056107117602,0.030762056107117602,0.4,MALE,1928
musmanno,25,8.0,5.0,3.0,3.0,0.04743230625583565,0.07620320855614973,0.028867475862827015,0.028867475862827015,0.36,MALE,1928
beffel,4,2.0,1.0,1.0,1.0,0.009358288770053473,0.009358288770053475,0.010336489287886169,0.010336489287886169,0.25,MALE,1928
sibley,4,2.0,1.0,1.0,1.0,0.009358288770053473,0.009358288770053475,0.010336489287886169,0.010336489287886169,0.25,MALE,1928
hendry,5,1.0,0.0,1.0,1.0,0.0,0.0,0.007253673868677727,0.007253673868677727,0.2,MALE,1928
stenotypistin,6,2.0,1.0,1.0,1.0,0.0,0.0,0.016177159743450503,0.016177159743450503,0.16666666666666666,FEMALE,1928
die_andrews,6,1.0,0.0,1.0,1.0,0.0,0.0,0.007253673868677727,0.007253673868677727,0.16666666666666666,FEMALE,1928
johnson,7,3.0,2.0,1.0,1.0,0.01693404634581105,0.071301247771836,0.033936608742314356,0.033936608742314356,0.14285714285714285,MALE,1928
erster_aufseher,7,2.0,1.0,1.0,1.0,0.0,0.0017825311942959,0.010531047962578064,0.010531047962578064,0.14285714285714285,MALE,1928
polizeikommissar,20,3.0,2.0,1.0,2.0,0.00267379679144385,0.0,0.02716258942520503,0.02716258942520503,0.1,MALE,1928
levangie,11,3.0,2.0,1.0,1.0,0.0196078431372549,0.0196078431372549,0.04773584099804635,0.04773584099804635,0.09090909090909091,MALE,1928
straefling,1,1.0,1.0,0.0,0.0,0.0,0.0,0.010531047962578064,0.010531047962578064,0.0,MALE,1928
italienischer_arbeiter,6,2.0,2.0,0.0,0.0,0.0,0.0,0.020181458847780904,0.020181458847780904,0.0,MALE,1928
dritter_arbeiter,5,1.0,1.0,0.0,0.0,0.0,0.0,0.008795081578281948,0.008795081578281948,0.0,MALE,1928
die_campbell,7,1.0,1.0,0.0,0.0,0.0,0.0,0.013419304707094609,0.013419304707094609,0.0,FEMALE,1928
fuenfter_arbeiter,2,1.0,1.0,0.0,0.0,0.0,0.0,0.008795081578281948,0.008795081578281948,0.0,MALE,1928
eine_frau_12c,1,1.0,1.0,0.0,0.0,0.0,0.0,0.008795081578281948,0.008795081578281948,0.0,FEMALE,1928
lakai,2,1.0,1.0,0.0,0.0,0.0,0.0,0.015175330238279681,0.015175330238279681,0.0,MALE,1928
sekretaer,5,1.0,1.0,0.0,0.0,0.0,0.0,0.023096986607881634,0.023096986607881634,0.0,MALE,1928
journalist,1,1.0,1.0,0.0,0.0,0.0,0.0,0.013419304707094609,0.013419304707094609,0.0,MALE,1928
moore,5,,,,,,,,,,MALE,1928
ein_journalist,6,,,,,,,,,,MALE,1928
ein_arbeiter_5,1,,,,,,,,,,MALE,1928
ein_polizist,1,,,,,,,,,,MALE,1928
ein_arbeiter_9a,1,,,,,,,,,,MALE,1928
ein_anderer,1,,,,,,,,,,MALE,1928
ein_dritter,1,,,,,,,,,,MALE,1928
ein_arbeiter_9b,1,,,,,,,,,,MALE,1928
stimmen_aus_den_arbeitern,1,,,,,,,,,,,1928
amerikanischer_arbeiter,1,,,,,,,,,,MALE,1928
aufseher_11,1,,,,,,,,,,MALE,1928
direktor,2,,,,,,,,,,MALE,1928
erster_arbeiter,8,,,,,,,,,,MALE,1928
eine_frau_12a,1,,,,,,,,,,FEMALE,1928
frau_12b,1,,,,,,,,,,FEMALE,1928
eine_stimme,1,,,,,,,,,,UNKNOWN,1928
stimme,1,,,,,,,,,,UNKNOWN,1928
eine_frau_12d,1,,,,,,,,,,FEMALE,1928
ein_richter,1,,,,,,,,,,MALE,1928
ein_beamter,1,,,,,,,,,,MALE,1928
zweiter_aufseher,4,,,,,,,,,,MALE,1928
dritter_aufseher,3,,,,,,,,,,MALE,1928
vierter_aufseher,2,,,,,,,,,,MALE,1928
geistlicher,5,,,,,,,,,,MALE,1928
sheriff,3,,,,,,,,,,MALE,1928
ein_arzt,3,,,,,,,,,,MALE,1928
stimmen_chor_14_und_15,1,,,,,,,,,,,1928
