,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
alf,70,15.0,3.0,8.0,12.0,25.0,0.15061728395061727,0.16266691861929958,0.028859785184797718,0.028859785184797718,4.285714285714286,MALE,1817
yngurd,146,22.0,10.0,31.0,12.0,48.0,0.25238725119677496,0.18830309901738473,0.10894029792208847,0.10894029792208847,3.9452054794520546,MALE,1817
irma,110,12.0,5.0,25.0,7.0,42.0,0.08929831191735954,0.06094104308390024,0.07194177641710461,0.07194177641710461,2.672727272727273,FEMALE,1817
asla,69,12.0,5.0,23.0,7.0,17.0,0.08124527588813303,0.13945578231292516,0.05596693616446664,0.05596693616446664,1.7246376811594204,FEMALE,1817
erichson,80,9.0,4.0,33.0,5.0,24.0,0.12213403880070547,0.14969135802469133,0.15414627216334084,0.15414627216334084,1.5,MALE,1817
oskar,69,10.0,4.0,13.0,6.0,17.0,0.02813366087175611,0.10788296800201562,0.05662614759882315,0.05662614759882315,1.4782608695652175,MALE,1817
brunhilde,32,10.0,5.0,6.0,5.0,7.0,0.0861363063744016,0.18776769967246157,0.027482977440522652,0.027482977440522652,1.09375,FEMALE,1817
alle_2-8,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009708201870818507,0.009708201870818507,1.0,,1817
droll,19,3.0,1.0,5.0,2.0,9.0,0.0,0.0,0.02275997606499065,0.02275997606499065,0.9473684210526315,MALE,1817
ein_daenischer_ritter_2-2_und_2-3,19,4.0,2.0,8.0,2.0,8.0,0.021164021164021163,0.021164021164021163,0.024568002539781423,0.024568002539781423,0.8421052631578947,MALE,1817
ourdal,29,4.0,2.0,3.0,2.0,10.0,0.01883345930964979,0.01455026455026455,0.0169037526341781,0.0169037526341781,0.6896551724137931,MALE,1817
bioerneland,9,4.0,2.0,2.0,2.0,2.0,0.0009290753338372385,0.027336860670194002,0.012618595188425358,0.012618595188425358,0.4444444444444444,MALE,1817
marduff,51,6.0,4.0,16.0,2.0,8.0,0.002028218694885361,0.0,0.04858248148117024,0.04858248148117024,0.3137254901960784,MALE,1817
noes,17,4.0,2.0,2.0,2.0,2.0,0.011022927689594354,0.07328672209624591,0.01309330629041202,0.01309330629041202,0.23529411764705882,MALE,1817
jarl,53,4.0,3.0,22.0,1.0,12.0,0.002031368102796674,0.0,0.11514922642455486,0.11514922642455486,0.22641509433962265,MALE,1817
gyldenbrog,14,3.0,2.0,4.0,1.0,3.0,0.0,0.0,0.014581060022133958,0.014581060022133958,0.21428571428571427,MALE,1817
fluechtlinge-stimmen,7,3.0,2.0,2.0,1.0,1.0,0.003086419753086419,0.06371252204585537,0.02073259547566189,0.02073259547566189,0.14285714285714285,,1817
kurl,16,3.0,2.0,8.0,1.0,2.0,0.0,0.00880259511211892,0.02601066597492379,0.02601066597492379,0.125,MALE,1817
der_ostlaender,9,2.0,1.0,7.0,1.0,1.0,0.021164021164021163,0.021164021164021163,0.016576828788798608,0.016576828788798608,0.1111111111111111,MALE,1817
eine_andere_stimme,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.023798555580507624,0.023798555580507624,0.0,UNKNOWN,1817
der_knapp_2-4,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.011670666704527108,0.011670666704527108,0.0,MALE,1817
knaut,15,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.02496916672180325,0.02496916672180325,0.0,MALE,1817
der_krieger,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.011670666704527108,0.011670666704527108,0.0,MALE,1817
einer_aus_dem_gefolge,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013045430832673004,0.013045430832673004,0.0,MALE,1817
egroesund,7,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.014056909156950369,0.014056909156950369,0.0,MALE,1817
der_trabant_1-1,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.020627630337304734,0.020627630337304734,0.0,MALE,1817
ein_knapp_3-4,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011637362771571057,0.011637362771571057,0.0,MALE,1817
der_trabant_5-10_und_5-11,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011637362771571057,0.011637362771571057,0.0,MALE,1817
eine_stimme_5-15,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011637362771571057,0.011637362771571057,0.0,UNKNOWN,1817
