,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
trueb,78,15.0,5.0,10.0,21.0,0.020166605313916522,0.0011645962732919253,0.052432661750035116,0.052432661750035116,2.692307692307692,MALE,1837
fad,108,20.0,9.0,11.0,24.0,0.04592299624479258,0.11329724522659304,0.06536152676270904,0.06536152676270904,2.444444444444444,MALE,1837
schlankel,266,29.0,15.0,14.0,41.0,0.10855119089529845,0.03718081435472739,0.13452705922593552,0.13452705922593552,2.1578947368421053,MALE,1837
braus,92,17.0,8.0,9.0,22.0,0.14033854261257006,0.15387336093857834,0.03773326198884566,0.03773326198884566,2.1521739130434785,MALE,1837
sturm,51,15.0,7.0,8.0,13.0,0.02770282730236964,0.08465896020243847,0.03629299721574139,0.03629299721574139,2.0392156862745097,MALE,1837
glueck,51,17.0,9.0,8.0,13.0,0.023669838615490792,0.05068797446514838,0.044822239437068326,0.044822239437068326,2.0392156862745097,MALE,1837
hutzibutz,183,29.0,16.0,13.0,28.0,0.1341862908152954,0.13564599148838277,0.11722334247294784,0.11722334247294784,1.989071038251366,MALE,1837
marie,89,22.0,11.0,11.0,16.0,0.11955297594599654,0.1737246951920865,0.05547107591329144,0.05547107591329144,1.9775280898876404,FEMALE,1837
froh,106,18.0,9.0,9.0,23.0,0.03162249385075472,0.025125086266390612,0.050635651186619106,0.050635651186619106,1.9528301886792454,MALE,1837
walburga,94,17.0,8.0,9.0,20.0,0.05957078163170841,0.030790631469979294,0.04508042284972753,0.04508042284972753,1.9148936170212767,FEMALE,1837
guido,33,10.0,4.0,6.0,10.0,0.004761904761904762,0.004227053140096618,0.02167866321671902,0.02167866321671902,1.8181818181818183,MALE,1837
irene,72,15.0,7.0,8.0,16.0,0.02474844499301021,0.057408126293995866,0.0359585536797688,0.0359585536797688,1.7777777777777777,FEMALE,1837
robert,50,16.0,9.0,7.0,10.0,0.03415148448043185,0.09322089947089947,0.03434604661166751,0.03434604661166751,1.4000000000000001,MALE,1837
brigitte,25,6.0,2.0,4.0,7.0,0.0016002415458937198,0.00588768115942029,0.020963384198129893,0.020963384198129893,1.12,FEMALE,1837
agnes,90,15.0,9.0,6.0,16.0,0.022396902931799956,0.04977858293075684,0.06187991769011295,0.06187991769011295,1.0666666666666667,FEMALE,1837
chor_1-28,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007000428641779598,0.007000428641779598,1.0,,1837
isabella,67,12.0,7.0,5.0,13.0,0.007394810884513401,0.007972452265930527,0.029812009817239367,0.029812009817239367,0.9701492537313433,FEMALE,1837
edmund,34,7.0,2.0,5.0,6.0,0.009276954929128842,0.002911490683229814,0.01566396680698419,0.01566396680698419,0.8823529411764707,MALE,1837
schlaf,33,10.0,5.0,5.0,5.0,0.011225248181769922,0.03519524959742351,0.02391063536356791,0.02391063536356791,0.7575757575757576,MALE,1837
schmerz,33,8.0,3.0,5.0,5.0,0.0003541462351531001,0.009344087876696574,0.02016644222156081,0.02016644222156081,0.7575757575757576,MALE,1837
felix,42,11.0,7.0,4.0,7.0,0.00930894101660692,0.022181245686680468,0.028046183716097135,0.028046183716097135,0.6666666666666666,MALE,1837
jakob,5,2.0,1.0,1.0,1.0,0.0,0.0,0.008458305030763537,0.008458305030763537,0.2,MALE,1837
frau_von_korbheim,6,2.0,1.0,1.0,1.0,0.0,0.0,0.009947405239783078,0.009947405239783078,0.16666666666666666,FEMALE,1837
nanette,13,4.0,3.0,1.0,1.0,0.004076086956521739,0.008605072463768116,0.0131631590704871,0.0131631590704871,0.07692307692307693,FEMALE,1837
cyprian,17,4.0,4.0,0.0,0.0,0.0,0.0,0.029424659892417923,0.029424659892417923,0.0,MALE,1837
babette,2,,,,,,,,,,FEMALE,1837
lisette,3,,,,,,,,,,FEMALE,1837
sepherl,3,,,,,,,,,,FEMALE,1837
doktor_krims,2,,,,,,,,,,MALE,1837
blinker,2,,,,,,,,,,MALE,1837
nadl,2,,,,,,,,,,MALE,1837
chor_2-19,2,,,,,,,,,,,1837
finster,5,,,,,,,,,,MALE,1837
allgemeiner_chor_2-24,0,,,,,,,,,,,1837
