,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
kauz,210,15.0,7.0,8.0,44.0,0.19949494949494948,0.2272727272727273,0.15141784931345773,0.15141784931345773,1.6761904761904762,MALE,1841
knoepfel,22,5.0,1.0,4.0,9.0,0.0,0.0202020202020202,0.01970246465685965,0.01970246465685965,1.6363636363636365,MALE,1841
gigl,125,12.0,7.0,5.0,36.0,0.0669191919191919,0.22095959595959594,0.1707403220563508,0.1707403220563508,1.44,MALE,1841
schnoferl,310,17.0,10.0,7.0,53.0,0.25378787878787873,0.1691919191919192,0.25442590791046726,0.25442590791046726,1.196774193548387,MALE,1841
rosalie,103,14.0,7.0,7.0,16.0,0.12247474747474749,0.42803030303030304,0.07683797191061605,0.07683797191061605,1.087378640776699,FEMALE,1841
thekla,49,7.0,3.0,4.0,12.0,0.003787878787878788,0.08333333333333334,0.05683514130443563,0.05683514130443563,0.9795918367346939,FEMALE,1841
madame_storch,82,10.0,5.0,5.0,12.0,0.022727272727272728,0.03535353535353535,0.07143615830744704,0.07143615830744704,0.7317073170731707,FEMALE,1841
peppi,17,4.0,1.0,3.0,4.0,0.0,0.09090909090909091,0.015618845217844013,0.015618845217844013,0.7058823529411764,FEMALE,1841
frau_von_erbsenstein,129,8.0,5.0,3.0,27.0,0.08712121212121213,0.08333333333333333,0.08180621891543138,0.08180621891543138,0.627906976744186,FEMALE,1841
chor_der_gesellschaft,2,1.0,0.0,1.0,1.0,0.0,0.0,0.01153846153846154,0.01153846153846154,0.5,,1841
dominik,13,3.0,1.0,2.0,2.0,0.0,0.003787878787878788,0.017388676377676764,0.017388676377676764,0.3076923076923077,MALE,1841
sabine,64,7.0,5.0,2.0,7.0,0.008838383838383838,0.0202020202020202,0.060713520952490635,0.060713520952490635,0.21875,FEMALE,1841
nanett,9,1.0,0.0,1.0,1.0,0.0,0.0,0.01153846153846154,0.01153846153846154,0.1111111111111111,FEMALE,1841
alle_1-1,2,,,,,,,,,,,1841
ein_kraemer,2,,,,,,,,,,MALE,1841
