,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
leim,132,23.0,11.0,12.0,29.0,0.1824074074074074,0.21494708994708994,0.16191630361545975,0.16191630361545975,2.6363636363636362,MALE,1833
zwirn,205,22.0,11.0,11.0,42.0,0.2695767195767196,0.2707671957671957,0.14696224736438668,0.14696224736438668,2.2536585365853656,MALE,1833
mystifax,6,4.0,1.0,3.0,3.0,0.018253968253968255,0.018253968253968255,0.016504894025944877,0.016504894025944877,1.5,MALE,1833
stellaris,27,7.0,3.0,4.0,10.0,0.0873015873015873,0.0873015873015873,0.03277189702244559,0.03277189702244559,1.4814814814814814,MALE,1833
hackauf,3,2.0,0.0,2.0,2.0,0.0,0.0,0.008147289176577824,0.008147289176577824,1.3333333333333333,MALE,1833
hannerl,3,2.0,0.0,2.0,2.0,0.0,0.0,0.008147289176577824,0.008147289176577824,1.3333333333333333,FEMALE,1833
alle_1-10,6,2.0,0.0,2.0,4.0,0.0,0.0,0.008147289176577824,0.008147289176577824,1.3333333333333333,UNKNOWN,1833
alle_1-2,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008147289176577824,0.008147289176577824,1.0,UNKNOWN,1833
alle_2-7,4,3.0,1.0,2.0,2.0,0.0,0.016666666666666666,0.012893010672166808,0.012893010672166808,1.0,UNKNOWN,1833
ein_zimmermann,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008147289176577824,0.008147289176577824,1.0,MALE,1833
peppi,19,4.0,1.0,3.0,6.0,0.0,0.010582010582010581,0.023731189210595326,0.023731189210595326,0.9473684210526315,FEMALE,1833
hausierer,10,4.0,1.0,3.0,3.0,0.0,0.07777777777777778,0.017638732167755793,0.017638732167755793,0.8999999999999999,MALE,1833
hobelmann,56,9.0,5.0,4.0,12.0,0.025132275132275134,0.03439153439153439,0.0535118455869475,0.0535118455869475,0.8571428571428571,MALE,1833
laura,15,5.0,2.0,3.0,4.0,0.03531746031746032,0.03571428571428571,0.03959014427973948,0.03959014427973948,0.8,FEMALE,1833
knieriem,110,11.0,7.0,4.0,18.0,0.03121693121693122,0.01984126984126984,0.11000664052031064,0.11000664052031064,0.6545454545454545,MALE,1833
fortuna,7,2.0,0.0,2.0,2.0,0.0,0.0,0.008147289176577824,0.008147289176577824,0.5714285714285714,FEMALE,1833
gertraud,12,4.0,2.0,2.0,3.0,0.0,0.07301587301587302,0.020612921404428674,0.020612921404428674,0.5,FEMALE,1833
fassel,9,3.0,1.0,2.0,2.0,0.0,0.020634920634920634,0.012893010672166808,0.012893010672166808,0.4444444444444444,MALE,1833
windwachel,20,3.0,1.0,2.0,2.0,0.013492063492063493,0.0,0.023018235359942234,0.023018235359942234,0.2,MALE,1833
reserl,11,1.0,0.0,1.0,2.0,0.0,0.0,0.008147289176577824,0.008147289176577824,0.18181818181818182,FEMALE,1833
lumpazi,11,3.0,2.0,1.0,2.0,0.003968253968253968,0.003968253968253968,0.019967557585654966,0.019967557585654966,0.18181818181818182,MALE,1833
