,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
alle_2-24_bis_2-27,8,5.0,1.0,1.0,4.0,4.0,0.0,0.10723039215686275,0.01462372407476956,0.01462372407476956,2.0,UNKNOWN,1843
titus,305,19.0,10.0,68.0,9.0,60.0,0.2083333333333333,0.08210784313725492,0.23124130941580412,0.23124130941580412,1.7704918032786885,MALE,1843
salome,84,10.0,4.0,22.0,6.0,24.0,0.12254901960784315,0.1213235294117647,0.08245688537450843,0.08245688537450843,1.7142857142857142,FEMALE,1843
frau_von_cypressenburg,90,11.0,5.0,17.0,6.0,25.0,0.10049019607843136,0.2193627450980392,0.07434814905561064,0.07434814905561064,1.6666666666666667,FEMALE,1843
spund,55,10.0,4.0,16.0,6.0,15.0,0.005514705882352941,0.16053921568627452,0.05986660950164287,0.05986660950164287,1.6363636363636362,MALE,1843
constantia,101,14.0,8.0,23.0,6.0,20.0,0.08946078431372549,0.19178921568627452,0.0869684135080996,0.0869684135080996,1.1881188118811883,FEMALE,1843
flora,131,11.0,7.0,26.0,4.0,30.0,0.03063725490196078,0.09129901960784315,0.08872577811192914,0.08872577811192914,0.916030534351145,FEMALE,1843
herr_von_platt,5,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.010927531971592307,0.010927531971592307,0.8,MALE,1843
plutzerkern,58,5.0,2.0,7.0,3.0,14.0,0.001838235294117647,0.04779411764705882,0.03004905003204749,0.03004905003204749,0.7241379310344828,MALE,1843
seppel,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08177627344129647,0.08177627344129647,0.5,MALE,1843
die_bauernbursche,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.010927531971592307,0.010927531971592307,0.5,MALE,1843
georg,15,4.0,2.0,7.0,2.0,3.0,0.0,0.058823529411764705,0.032407670613787104,0.032407670613787104,0.4,MALE,1843
marquis,42,5.0,3.0,10.0,2.0,5.0,0.0,0.0,0.04393889956532701,0.04393889956532701,0.23809523809523808,MALE,1843
emma,7,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.013455391231214048,0.013455391231214048,0.14285714285714285,FEMALE,1843
christoph,8,3.0,2.0,2.0,1.0,1.0,0.044117647058823525,0.044117647058823525,0.0833510147281389,0.0833510147281389,0.125,MALE,1843
die_maedchen,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.020215943844901687,0.020215943844901687,0.0,FEMALE,1843
hanns,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013847910136691592,0.013847910136691592,0.0,MALE,1843
konrad,5,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.020871913421046488,0.020871913421046488,0.0,MALE,1843
