,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
krautkopf,138,15.0,6.0,9.0,46.0,0.2248249299719888,0.2377450980392157,0.1270036229857806,0.1270036229857806,3.0,MALE,1844
kathi,137,13.0,5.0,8.0,38.0,0.04200805322128851,0.0,0.1595966387484659,0.1595966387484659,2.218978102189781,FEMALE,1844
lips,207,16.0,8.0,8.0,45.0,0.09032738095238095,0.07107843137254902,0.19503671736940534,0.19503671736940534,1.7391304347826086,MALE,1844
stifler,78,12.0,5.0,7.0,18.0,0.05011379551820728,0.1366421568627451,0.06650433195601069,0.06650433195601069,1.6153846153846154,MALE,1844
dritter_knecht_2-1,1,2.0,1.0,1.0,1.0,0.0,0.0,0.016064369337883834,0.016064369337883834,1.0,MALE,1844
madame_schleier,76,8.0,3.0,5.0,14.0,0.0012605042016806723,0.022058823529411763,0.06766257298065659,0.06766257298065659,0.9210526315789473,FEMALE,1844
gluthammer,97,9.0,5.0,4.0,16.0,0.06066176470588235,0.08088235294117647,0.11167538414665548,0.11167538414665548,0.6597938144329897,MALE,1844
christian,2,1.0,0.0,1.0,1.0,0.0,0.0,0.013717564180952756,0.013717564180952756,0.5,MALE,1844
sporner,18,2.0,0.0,2.0,2.0,0.0,0.0,0.013717564180952756,0.013717564180952756,0.2222222222222222,MALE,1844
wixer,41,7.0,4.0,3.0,3.0,0.03768382352941176,0.07414215686274508,0.037641306216157806,0.037641306216157806,0.2195121951219512,MALE,1844
justitiaer,30,7.0,5.0,2.0,2.0,0.024947478991596637,0.09558823529411764,0.051001539155596035,0.051001539155596035,0.13333333333333333,MALE,1844
anton,23,4.0,3.0,1.0,1.0,0.0012605042016806723,0.03125,0.026360596855240635,0.026360596855240635,0.043478260869565216,MALE,1844
die_herren,4,1.0,1.0,0.0,0.0,0.0,0.0,0.024382666084525138,0.024382666084525138,0.0,MALE,1844
erster_knecht_2-1,3,1.0,1.0,0.0,0.0,0.0,0.0,0.016064369337883834,0.016064369337883834,0.0,MALE,1844
zweiter_knecht_2-1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.016064369337883834,0.016064369337883834,0.0,MALE,1844
joseph,3,1.0,1.0,0.0,0.0,0.0,0.0,0.02537764845018101,0.02537764845018101,0.0,MALE,1844
vierter_knecht_2-1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.016064369337883834,0.016064369337883834,0.0,MALE,1844
erster_knecht_2-4,4,1.0,1.0,0.0,0.0,0.0,0.0,0.016064369337883834,0.016064369337883834,0.0,MALE,1844
zweiter_knecht_2-4,1,,,,,,,,,,MALE,1844
alle_3-11,0,,,,,,,,,,UNKNOWN,1844
