,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
fraeulein_blumenblatt,61,13.0,6.0,7.0,22.0,0.04901960784313726,0.023202614379084965,0.0754746333380799,0.0754746333380799,2.5245901639344264,FEMALE,1842
sonders,76,13.0,5.0,8.0,20.0,0.10103485838779958,0.11557734204793028,0.0493937709413894,0.0493937709413894,2.1052631578947367,MALE,1842
frau_von_fischer,52,6.0,1.0,5.0,18.0,0.006535947712418301,0.0016339869281045752,0.014158919707244429,0.014158919707244429,1.7307692307692308,FEMALE,1842
zangler,181,21.0,11.0,10.0,27.0,0.403322440087146,0.5657407407407407,0.1657407868401585,0.1657407868401585,1.4917127071823204,MALE,1842
weinberl,253,19.0,10.0,9.0,31.0,0.3020152505446624,0.319880174291939,0.16190483192993,0.16190483192993,1.1027667984189724,MALE,1842
madame_knorr,69,8.0,4.0,4.0,19.0,0.06263616557734204,0.13943355119825707,0.035745764207551475,0.035745764207551475,1.1014492753623188,FEMALE,1842
christoph,159,10.0,5.0,5.0,34.0,0.03485838779956427,0.008986928104575164,0.09996745417334332,0.09996745417334332,1.069182389937107,MALE,1842
hausmeister,6,3.0,1.0,2.0,3.0,0.0,0.020152505446623094,0.013800992412629335,0.013800992412629335,1.0,MALE,1842
kutscher,14,4.0,1.0,3.0,4.0,0.0,0.0,0.025014749984832486,0.025014749984832486,0.8571428571428571,MALE,1842
marie,32,5.0,2.0,3.0,8.0,0.0,0.07952069716775599,0.016678512216525235,0.016678512216525235,0.75,FEMALE,1842
melchior,172,15.0,9.0,6.0,17.0,0.1312636165577342,0.154520697167756,0.15593693025857025,0.15593693025857025,0.5930232558139534,MALE,1842
rab,18,4.0,2.0,2.0,4.0,0.0010893246187363833,0.02679738562091503,0.02159779126677072,0.02159779126677072,0.4444444444444444,MALE,1842
brunninger,14,2.0,1.0,1.0,5.0,0.0,0.0,0.025014749984832486,0.025014749984832486,0.35714285714285715,MALE,1842
gertrud,28,4.0,2.0,2.0,4.0,0.010348583877995643,0.0051742919389978215,0.022076644349257483,0.022076644349257483,0.2857142857142857,FEMALE,1842
kellner,11,4.0,3.0,1.0,1.0,0.0,0.023965141612200435,0.017127645244013195,0.017127645244013195,0.09090909090909091,MALE,1842
hupfer,12,2.0,1.0,1.0,1.0,0.0,0.0,0.024955130968185413,0.024955130968185413,0.08333333333333333,MALE,1842
wachter,12,3.0,2.0,1.0,1.0,0.0,0.08088235294117647,0.020074368681758794,0.020074368681758794,0.08333333333333333,MALE,1842
lisett,16,3.0,2.0,1.0,1.0,0.005718954248366013,0.011710239651416121,0.022549102115773642,0.022549102115773642,0.0625,FEMALE,1842
kraps,21,3.0,3.0,0.0,0.0,0.0,0.0,0.03278722137915363,0.03278722137915363,0.0,MALE,1842
philippine,5,,,,,,,,,,FEMALE,1842
zweiter_kellner,2,,,,,,,,,,MALE,1842
