,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
nelkenstein,118,18.0,7.0,13.0,11.0,47.0,0.24270833333333333,0.37187499999999996,0.07390499352439778,0.07390499352439778,4.38135593220339,MALE,1835
mehlwurm,153,19.0,7.0,25.0,12.0,45.0,0.31979166666666664,0.24444444444444444,0.1409925295931259,0.1409925295931259,3.5294117647058822,MALE,1835
cordula,81,10.0,4.0,15.0,6.0,25.0,0.003472222222222222,0.034375,0.08348638355340461,0.08348638355340461,1.8518518518518516,FEMALE,1835
natzi,122,16.0,8.0,31.0,8.0,21.0,0.22604166666666664,0.16944444444444443,0.15643927153104548,0.15643927153104548,1.3770491803278688,MALE,1835
heinrich,88,10.0,6.0,23.0,4.0,23.0,0.013888888888888888,0.07569444444444445,0.08017897873559356,0.08017897873559356,1.0454545454545454,MALE,1835
eulenspiegel,188,11.0,6.0,67.0,5.0,26.0,0.026041666666666668,0.10833333333333334,0.18744498530815604,0.18744498530815604,0.6914893617021277,MALE,1835
lenchen,32,5.0,2.0,2.0,3.0,6.0,0.06249999999999999,0.08506944444444443,0.02881707663227314,0.02881707663227314,0.5625,FEMALE,1835
dorothea,39,6.0,4.0,8.0,2.0,6.0,0.01111111111111111,0.07083333333333333,0.05679167498632531,0.05679167498632531,0.3076923076923077,FEMALE,1835
die_muehlknechte,4,2.0,1.0,1.0,1.0,1.0,0.00486111111111111,0.034027777777777775,0.013593540115322359,0.013593540115322359,0.25,,1835
hans,4,3.0,2.0,2.0,1.0,1.0,0.0,0.004166666666666667,0.014930108968387826,0.014930108968387826,0.25,MALE,1835
peppi,22,4.0,3.0,6.0,1.0,5.0,0.0625,0.0625,0.05047657225069675,0.05047657225069675,0.22727272727272727,FEMALE,1835
specht,48,5.0,3.0,8.0,2.0,4.0,0.06458333333333333,0.09375,0.04093650182994914,0.04093650182994914,0.16666666666666666,MALE,1835
steffel,8,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.013593540115322359,0.013593540115322359,0.125,MALE,1835
johann,14,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.016276669766624532,0.016276669766624532,0.07142857142857142,MALE,1835
friedrich,9,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.016276669766624532,0.016276669766624532,0.0,MALE,1835
sebastian,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.013593540115322359,0.013593540115322359,0.0,MALE,1835
jakob,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012266963207428134,0.012266963207428134,0.0,MALE,1835
