,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
buergermeister,86,12.0,4.0,8.0,23.0,0.15305555555555558,0.10833333333333334,0.09111082313105431,0.09111082313105431,2.13953488372093,MALE,1848
pfiffspitz,16,5.0,2.0,3.0,9.0,0.035,0.0575,0.030471591074809356,0.030471591074809356,1.6875,MALE,1848
ultra,136,19.0,9.0,10.0,21.0,0.35194444444444445,0.4593888888888889,0.1311919991706887,0.1311919991706887,1.5441176470588236,MALE,1848
frau_von_frankenfrei,30,6.0,2.0,4.0,10.0,0.10208333333333335,0.09833333333333334,0.026614193966853692,0.026614193966853692,1.3333333333333333,FEMALE,1848
willibald,42,9.0,4.0,5.0,10.0,0.039722222222222214,0.12833333333333335,0.05175831231400629,0.05175831231400629,1.1904761904761905,MALE,1848
chor_alle_2-13_bis_2-16,6,2.0,0.0,2.0,3.0,0.0,0.0,0.007399018884282984,0.007399018884282984,1.0,,1848
reakzerl,15,4.0,1.0,3.0,5.0,0.0008333333333333334,0.016277777777777776,0.009661211117834313,0.009661211117834313,1.0,MALE,1848
sigmund,66,7.0,4.0,3.0,20.0,0.002638888888888889,0.0071111111111111115,0.047342615780094445,0.047342615780094445,0.9090909090909092,MALE,1848
klaus,139,13.0,8.0,5.0,22.0,0.19111111111111112,0.12000000000000001,0.17437809903004334,0.17437809903004334,0.7913669064748201,MALE,1848
emerenzia,36,8.0,4.0,4.0,7.0,0.18305555555555558,0.20500000000000002,0.07113112523404042,0.07113112523404042,0.7777777777777778,FEMALE,1848
rummelpuff,11,5.0,3.0,2.0,3.0,0.011111111111111112,0.17333333333333334,0.026095828615390813,0.026095828615390813,0.5454545454545454,MALE,1848
babette,2,2.0,1.0,1.0,1.0,0.035,0.035,0.009661211117834313,0.009661211117834313,0.5,FEMALE,1848
sperling,26,6.0,3.0,3.0,3.0,0.04111111111111112,0.04,0.038577300231366914,0.038577300231366914,0.34615384615384615,MALE,1848
walpurga,6,2.0,1.0,1.0,2.0,0.035,0.035,0.02102946516868265,0.02102946516868265,0.3333333333333333,FEMALE,1848
die_frauen,3,2.0,1.0,1.0,1.0,0.028333333333333335,0.028333333333333335,0.028770186487870164,0.028770186487870164,0.3333333333333333,,1848
frau_schabenfellner,4,1.0,0.0,1.0,1.0,0.0,0.0,0.007399018884282984,0.007399018884282984,0.25,FEMALE,1848
pemperl,19,5.0,3.0,2.0,2.0,0.15833333333333335,0.195,0.05027707487895735,0.05027707487895735,0.21052631578947367,MALE,1848
frau_pemperl,10,4.0,3.0,1.0,2.0,0.07500000000000001,0.1,0.0402353707635296,0.0402353707635296,0.2,FEMALE,1848
frau_von_schnabelbeiss,7,1.0,0.0,1.0,1.0,0.0,0.0,0.007399018884282984,0.007399018884282984,0.14285714285714285,FEMALE,1848
nachtwaechter,48,4.0,3.0,1.0,5.0,0.06833333333333334,0.06833333333333334,0.042710874319481236,0.042710874319481236,0.10416666666666667,MALE,1848
die_kraehwinkler_1-10,11,3.0,2.0,1.0,1.0,0.0,0.0,0.020897128386362863,0.020897128386362863,0.09090909090909091,,1848
caecilie,18,2.0,1.0,1.0,1.0,0.03166666666666667,0.03166666666666667,0.01603589446673448,0.01603589446673448,0.05555555555555555,FEMALE,1848
adele,4,1.0,1.0,0.0,0.0,0.0,0.0,0.012709140228697452,0.012709140228697452,0.0,FEMALE,1848
schabenfellner,7,1.0,1.0,0.0,0.0,0.0,0.0,0.010766225677608644,0.010766225677608644,0.0,MALE,1848
kathi,2,1.0,1.0,0.0,0.0,0.0,0.0,0.015611046507601246,0.015611046507601246,0.0,FEMALE,1848
kellner,4,1.0,1.0,0.0,0.0,0.0,0.0,0.010766225677608644,0.010766225677608644,0.0,MALE,1848
die_buerger,1,,,,,,,,,,,1848
die_kraehwinkler_2-10,1,,,,,,,,,,,1848
die_maenner,2,,,,,,,,,,,1848
frau_kloeppl,2,,,,,,,,,,FEMALE,1848
ein_bedienter,1,,,,,,,,,,MALE,1848
die_kraehwinkler_3-11,1,,,,,,,,,,,1848
chor_3-12,1,,,,,,,,,,,1848
alle_3-24,1,,,,,,,,,,,1848
