,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
mirtillo,113,20,10,10,28,0.21426406926406927,0.19318181818181818,0.18824599548274204,0.18824599548274204,2.47787610619469,MALE,1754
philemon,146,14,7,7,36,0.049112554112554115,0.03939393939393939,0.08897136628307634,0.08897136628307634,1.7260273972602738,MALE,1754
sylvan,122,19,10,9,22,0.22694805194805195,0.33121212121212124,0.1470278747636272,0.1470278747636272,1.6229508196721312,MALE,1754
mirta,40,7,2,5,12,0.016666666666666666,0.12363636363636363,0.0321162324514683,0.0321162324514683,1.5,FEMALE,1754
phillis,50,9,4,5,12,0.016233766233766232,0.053030303030303025,0.05827144510742267,0.05827144510742267,1.2,FEMALE,1754
damon,82,11,6,5,18,0.0446969696969697,0.10212121212121211,0.06772014866799399,0.06772014866799399,1.0975609756097562,MALE,1754
sylvia,40,8,4,4,10,0.0,0.06651515151515151,0.03852646152153852,0.03852646152153852,1.0,FEMALE,1754
doris,99,12,6,6,15,0.023571428571428566,0.040757575757575756,0.12159652988592548,0.12159652988592548,0.9090909090909092,FEMALE,1754
mops,38,7,4,3,11,0.0053030303030303025,0.038181818181818185,0.09158225551946084,0.09158225551946084,0.868421052631579,MALE,1754
seladon,58,8,4,4,12,0.0,0.015454545454545453,0.05596115973611192,0.05596115973611192,0.8275862068965517,MALE,1754
galathe,57,8,4,4,11,0.00841991341991342,0.00893939393939394,0.05043590614405487,0.05043590614405487,0.7719298245614035,FEMALE,1754
silen,33,7,4,3,6,0.012965367965367963,0.05484848484848485,0.05954462443657767,0.05954462443657767,0.5454545454545454,MALE,1754
