,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
nero,64,13.0,3.0,3.0,10.0,22.0,0.08496732026143791,0.08496732026143791,0.07023433758736486,0.07023433758736486,3.4375,MALE,1898
tigellinus,32,4.0,1.0,1.0,3.0,8.0,0.03594771241830066,0.03594771241830066,0.07205594634612486,0.07205594634612486,0.75,MALE,1898
erster_jude,8,2.0,1.0,3.0,1.0,5.0,0.0,0.0,0.16583230289750742,0.16583230289750742,0.625,MALE,1898
doryphoros,4,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.02487820094825694,0.02487820094825694,0.5,MALE,1898
zweiter_jude,7,2.0,1.0,5.0,1.0,3.0,0.0,0.0,0.16583230289750742,0.16583230289750742,0.42857142857142855,MALE,1898
drittes_maedchen,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.02487820094825694,0.02487820094825694,0.3333333333333333,FEMALE,1898
sporus,9,2.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0411600173709185,0.0411600173709185,0.1111111111111111,MALE,1898
hasta,20,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.055502433646077584,0.055502433646077584,0.05,MALE,1898
zenturjo_5-2a,3,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.04784637547162242,0.04784637547162242,0.0,MALE,1898
augustjani,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0460248666218267,0.0460248666218267,0.0,,1898
burrus,14,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.03573274523003131,0.03573274523003131,0.0,MALE,1898
lukanus,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027591837018700535,0.027591837018700535,0.0,MALE,1898
seneka,11,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.038446381300474904,0.038446381300474904,0.0,MALE,1898
zenturjo_1-1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027591837018700535,0.027591837018700535,0.0,MALE,1898
akte,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027591837018700535,0.027591837018700535,0.0,FEMALE,1898
terpnus,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027591837018700535,0.027591837018700535,0.0,MALE,1898
andere_alle_maedchen,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0460248666218267,0.0460248666218267,0.0,,1898
erstes_maedchen,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027591837018700535,0.027591837018700535,0.0,FEMALE,1898
phaon,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.027591837018700535,0.027591837018700535,0.0,MALE,1898
