,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
jokaste,43,13.0,6.0,11.0,7.0,15.0,0.22319688109161795,0.19883040935672514,0.11897749541206425,0.11897749541206425,2.441860465116279,FEMALE,1829
oedipus,40,11.0,5.0,7.0,6.0,11.0,0.26413255360623783,0.27192982456140347,0.0748258572586354,0.0748258572586354,1.6500000000000001,MALE,1829
nimmermann,57,6.0,3.0,9.0,3.0,21.0,0.007309941520467836,0.011695906432748537,0.07426210300721423,0.07426210300721423,1.1052631578947367,MALE,1829
melchior,11,4.0,1.0,2.0,3.0,4.0,0.029239766081871343,0.03654970760233918,0.023246790107269696,0.023246790107269696,1.0909090909090908,MALE,1829
chorfuehrer,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009762532874706333,0.009762532874706333,1.0,MALE,1829
geist_des_lajus,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009762532874706333,0.009762532874706333,1.0,MALE,1829
chor,47,5.0,2.0,16.0,3.0,13.0,0.0014619883040935672,0.011695906432748537,0.06614799369728665,0.06614799369728665,0.8297872340425532,,1829
lajus,23,7.0,4.0,5.0,3.0,6.0,0.014132553606237816,0.07504873294346978,0.04198851838267954,0.04198851838267954,0.7826086956521738,MALE,1829
publicum,66,4.0,2.0,20.0,2.0,19.0,0.0,0.0,0.08043123712869138,0.08043123712869138,0.5757575757575758,MALE,1829
zelinde,53,5.0,3.0,13.0,2.0,15.0,0.1111111111111111,0.09649122807017543,0.11648192322858392,0.11648192322858392,0.5660377358490566,FEMALE,1829
tiresias,27,6.0,3.0,7.0,3.0,5.0,0.043859649122807015,0.06725146198830409,0.05282257408149421,0.05282257408149421,0.5555555555555556,MALE,1829
die_sphinx,3,2.0,1.0,1.0,1.0,1.0,0.014619883040935672,0.03508771929824561,0.015544519972313268,0.015544519972313268,0.3333333333333333,FEMALE,1829
polybus,11,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.009762532874706333,0.009762532874706333,0.2727272727272727,MALE,1829
erste_hebamme,9,3.0,2.0,4.0,1.0,2.0,0.03216374269005848,0.03216374269005848,0.054805024039878886,0.054805024039878886,0.2222222222222222,FEMALE,1829
diagoras,43,3.0,2.0,13.0,1.0,8.0,0.03216374269005848,0.03216374269005848,0.10218614675014016,0.10218614675014016,0.18604651162790697,MALE,1829
balthasar,7,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.027108494167527135,0.027108494167527135,0.14285714285714285,MALE,1829
zweite_hebamme,9,3.0,2.0,3.0,1.0,1.0,0.0014619883040935672,0.03313840155945419,0.029195239326424094,0.029195239326424094,0.1111111111111111,FEMALE,1829
verstand,21,3.0,2.0,9.0,1.0,1.0,0.0,0.0014619883040935672,0.03945277598485734,0.03945277598485734,0.047619047619047616,UNKNOWN,1829
kindeskind,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016504661490988018,0.016504661490988018,0.0,MALE,1829
kind,8,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.03673104733983307,0.03673104733983307,0.0,MALE,1829
