,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
doctor,259,14.0,6.0,8.0,100.0,0.4381313131313131,0.4545454545454546,0.3023962139250534,0.3023962139250534,3.088803088803089,MALE,1845
der_dichter,2,2.0,0.0,2.0,2.0,0.0,0.0,0.01571876677957025,0.01571876677957025,2.0,MALE,1845
kilian,64,7.0,3.0,4.0,31.0,0.07196969696969698,0.03787878787878788,0.07886907965487315,0.07886907965487315,1.9375,MALE,1845
die_fremde,16,8.0,4.0,4.0,7.0,0.0946969696969697,0.40151515151515155,0.04774373726228931,0.04774373726228931,1.75,FEMALE,1845
schlaukopf,176,11.0,6.0,5.0,47.0,0.20707070707070707,0.23484848484848486,0.23544364668228182,0.23544364668228182,1.3352272727272727,MALE,1845
germania,33,7.0,4.0,3.0,11.0,0.021464646464646468,0.2272727272727273,0.06470595429722963,0.06470595429722963,1.0,FEMALE,1845
romantiker,10,3.0,1.0,2.0,4.0,0.0,0.06818181818181818,0.033711061379420156,0.033711061379420156,0.8,MALE,1845
erster_gensdarm,10,5.0,3.0,2.0,3.0,0.07575757575757576,0.07575757575757576,0.04827492698955924,0.04827492698955924,0.6,MALE,1845
chor_der_sklaven,14,4.0,2.0,2.0,3.0,0.007575757575757576,0.0,0.029476213466723807,0.029476213466723807,0.42857142857142855,,1845
philosoph,50,3.0,2.0,1.0,13.0,0.0,0.0,0.061437363046169355,0.061437363046169355,0.26,MALE,1845
medea,5,2.0,1.0,1.0,1.0,0.0,0.0,0.01828909457954881,0.01828909457954881,0.2,FEMALE,1845
antigone,5,1.0,1.0,0.0,0.0,0.0,0.0,0.020859422379527363,0.020859422379527363,0.0,FEMALE,1845
zweiter_gensdarm,4,1.0,1.0,0.0,0.0,0.0,0.0,0.04307451955775395,0.04307451955775395,0.0,MALE,1845
erstes_frauenzimmer,4,,,,,,,,,,FEMALE,1845
zweites_frauenzimmer,2,,,,,,,,,,FEMALE,1845
chor_der_moenche,1,,,,,,,,,,,1845
die_wiedergeborenen,1,,,,,,,,,,,1845
chor_der_ritter,1,,,,,,,,,,,1845
chor_der_gaense,1,,,,,,,,,,,1845
chor_der_freisinnigen,1,,,,,,,,,,,1845
der_kaiser_von_china,1,,,,,,,,,,MALE,1845
ein_nachtwaechter,1,,,,,,,,,,MALE,1845
die_kosaken,1,,,,,,,,,,,1845
