,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
lottchen,67,10.0,3.0,7.0,30.0,0.08393719806763285,0.126207729468599,0.042253649525474904,0.042253649525474904,3.1343283582089554,FEMALE,1826
karl,46,13.0,6.0,7.0,16.0,0.15972222222222218,0.2246376811594203,0.04349624036472139,0.04349624036472139,2.4347826086956523,MALE,1826
wurzel,126,15.0,8.0,7.0,30.0,0.2339975845410628,0.22735507246376813,0.224789284460995,0.224789284460995,1.6666666666666665,MALE,1826
zufriedenheit,76,10.0,5.0,5.0,21.0,0.10295893719806762,0.025362318840579712,0.08526574357900889,0.08526574357900889,1.3815789473684212,UNKNOWN,1826
ajaxerle,40,11.0,6.0,5.0,11.0,0.12952898550724637,0.17421497584541062,0.07576486328757914,0.07576486328757914,1.375,MALE,1826
hass,26,6.0,2.0,4.0,7.0,0.0356280193236715,0.17028985507246377,0.04236518154952382,0.04236518154952382,1.0769230769230769,UNKNOWN,1826
chor_1-1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.010610345619630375,0.010610345619630375,1.0,,1826
bustorius,25,7.0,3.0,4.0,6.0,0.053140096618357495,0.05495169082125604,0.027794362391375203,0.027794362391375203,0.96,MALE,1826
lorenz,47,5.0,2.0,3.0,10.0,0.006038647342995169,0.006340579710144928,0.0966187351814899,0.0966187351814899,0.6382978723404256,MALE,1826
schlosser,2,1.0,0.0,1.0,1.0,0.0,0.0,0.010610345619630375,0.010610345619630375,0.5,MALE,1826
nigowitz,8,3.0,1.0,2.0,2.0,0.02717391304347826,0.02717391304347826,0.017542667585089194,0.017542667585089194,0.5,MALE,1826
das_alter,14,5.0,3.0,2.0,3.0,0.0,0.030797101449275364,0.07070002284442595,0.07070002284442595,0.42857142857142855,UNKNOWN,1826
afterling,4,1.0,0.0,1.0,1.0,0.0,0.0,0.010610345619630375,0.010610345619630375,0.25,MALE,1826
lakrimosa,18,4.0,2.0,2.0,2.0,0.00754830917874396,0.029589371980676328,0.020402350375299305,0.020402350375299305,0.2222222222222222,FEMALE,1826
antimonia,7,1.0,0.0,1.0,1.0,0.0,0.0,0.010610345619630375,0.010610345619630375,0.14285714285714285,FEMALE,1826
jugend,21,2.0,1.0,1.0,3.0,0.0,0.0,0.016979574278931854,0.016979574278931854,0.14285714285714285,UNKNOWN,1826
neid,9,2.0,1.0,1.0,1.0,0.0,0.0,0.023348802938233333,0.023348802938233333,0.1111111111111111,UNKNOWN,1826
tophan,10,3.0,2.0,1.0,1.0,0.004528985507246377,0.018115942028985508,0.034638767765142554,0.034638767765142554,0.1,MALE,1826
chor_2-13,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012921119608116649,0.012921119608116649,0.0,,1826
papagei,1,1.0,1.0,0.0,0.0,0.0,0.0,0.018065948906010085,0.018065948906010085,0.0,UNKNOWN,1826
tischler,1,1.0,1.0,0.0,0.0,0.0,0.0,0.019629135317580045,0.019629135317580045,0.0,MALE,1826
chor_1-13,3,1.0,1.0,0.0,0.0,0.0,0.0,0.011807551325910597,0.011807551325910597,0.0,,1826
zenobius,10,3.0,3.0,0.0,0.0,0.0,0.0,0.03617528714670666,0.03617528714670666,0.0,MALE,1826
habakuk,5,2.0,2.0,0.0,0.0,0.0,0.0,0.025191777763953444,0.025191777763953444,0.0,MALE,1826
amor,3,1.0,1.0,0.0,0.0,0.0,0.0,0.011807551325910597,0.011807551325910597,0.0,MALE,1826
borax,2,,,,,,,,,,MALE,1826
feendiener,4,,,,,,,,,,MALE,1826
alle_1-3,8,,,,,,,,,,,1826
fiaker,1,,,,,,,,,,MALE,1826
ein_kleiner_genius,2,,,,,,,,,,MALE,1826
stimme_von_unten,1,,,,,,,,,,MALE,1826
satyr,1,,,,,,,,,,MALE,1826
alles_1-13,1,,,,,,,,,,,1826
illi,1,,,,,,,,,,MALE,1826
schmeichelfeld,2,,,,,,,,,,MALE,1826
musensohn,7,,,,,,,,,,MALE,1826
alle_bedienten,1,,,,,,,,,,,1826
chor_3-1,1,,,,,,,,,,,1826
laermen,1,,,,,,,,,,UNKNOWN,1826
hymen,1,,,,,,,,,,FEMALE,1826
chor_3-7,5,,,,,,,,,,,1826
