,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
rappelkopf,279,23.0,12.0,11.0,64.0,0.4071691176470588,0.37316176470588236,0.2879837998744927,0.2879837998744927,2.5232974910394264,MALE,1828
astragalus,118,11.0,4.0,7.0,27.0,0.0235906862745098,0.10294117647058823,0.08795961684222346,0.08795961684222346,1.6016949152542372,MALE,1828
august,48,8.0,4.0,4.0,14.0,0.004901960784313725,0.009191176470588236,0.07506862690382235,0.07506862690382235,1.1666666666666667,MALE,1828
sophie,90,9.0,4.0,5.0,21.0,0.05238970588235294,0.051470588235294115,0.0798428836289628,0.0798428836289628,1.1666666666666667,FEMALE,1828
silberkern,11,2.0,0.0,2.0,5.0,0.0,0.0,0.010542045849670955,0.010542045849670955,0.9090909090909091,MALE,1828
malchen,59,10.0,5.0,5.0,10.0,0.006740196078431371,0.2077205882352941,0.07290268733380419,0.07290268733380419,0.847457627118644,FEMALE,1828
salchen,21,4.0,1.0,3.0,5.0,0.0,0.012254901960784314,0.014366887145478912,0.014366887145478912,0.7142857142857142,FEMALE,1828
andresel,14,5.0,2.0,3.0,3.0,0.051470588235294115,0.06372549019607843,0.023076426514573384,0.023076426514573384,0.6428571428571428,MALE,1828
lischen,72,9.0,5.0,4.0,11.0,0.003982843137254902,0.012867647058823529,0.08783536181120545,0.08783536181120545,0.6111111111111112,FEMALE,1828
franzel,2,1.0,0.0,1.0,1.0,0.0,0.0,0.010542045849670955,0.010542045849670955,0.5,MALE,1828
alpanor,3,3.0,2.0,1.0,1.0,0.0,0.03676470588235294,0.017135961196805514,0.017135961196805514,0.3333333333333333,MALE,1828
habakuk,78,8.0,5.0,3.0,5.0,0.04901960784313725,0.04779411764705882,0.11352603730231098,0.11352603730231098,0.1923076923076923,MALE,1828
christian,9,1.0,0.0,1.0,1.0,0.0,0.0,0.010542045849670955,0.010542045849670955,0.1111111111111111,MALE,1828
sabine,10,1.0,0.0,1.0,1.0,0.0,0.0,0.010542045849670955,0.010542045849670955,0.1,FEMALE,1828
marthe,26,6.0,5.0,1.0,2.0,0.08823529411764705,0.08823529411764705,0.051361000897168996,0.051361000897168996,0.07692307692307693,FEMALE,1828
linarius,7,1.0,1.0,0.0,0.0,0.0,0.0,0.015918481668282972,0.015918481668282972,0.0,MALE,1828
der_bub_unterm_bett,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0170803262077519,0.0170803262077519,0.0,MALE,1828
dienstleute,1,1.0,1.0,0.0,0.0,0.0,0.0,0.013773719274432876,0.013773719274432876,0.0,,1828
chor_alle_1-1_und_1-2,2,,,,,,,,,,,1828
chor_1-7,1,,,,,,,,,,,1828
kutscher,6,,,,,,,,,,MALE,1828
haenschen,8,,,,,,,,,,MALE,1828
das_kind,4,,,,,,,,,,UNKNOWN,1828
die_katze,2,,,,,,,,,,UNKNOWN,1828
der_hund,8,,,,,,,,,,UNKNOWN,1828
christoph,2,,,,,,,,,,MALE,1828
die_grossmutter,1,,,,,,,,,,FEMALE,1828
chor_1-17,3,,,,,,,,,,,1828
victorinens_geist,1,,,,,,,,,,FEMALE,1828
wallburgas_geist,1,,,,,,,,,,FEMALE,1828
emerentias_geist,1,,,,,,,,,,FEMALE,1828
chor_1-21,1,,,,,,,,,,,1828
chor_2-1,1,,,,,,,,,,,1828
ein_alpengeist,1,,,,,,,,,,MALE,1828
echo,1,,,,,,,,,,UNKNOWN,1828
alpengeister,1,,,,,,,,,,,1828
alle_alles_2-14,2,,,,,,,,,,,1828
chor_2-15,1,,,,,,,,,,,1828
