,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
quecksilber,189,25.0,13.0,12.0,48.0,0.6451388888888888,0.6375,0.30512724110418893,0.30512724110418893,3.0476190476190474,MALE,1823
zoraide,116,6.0,2.0,4.0,36.0,0.0013888888888888887,0.0,0.0949897873877087,0.0949897873877087,1.2413793103448276,FEMALE,1823
tutu,73,6.0,2.0,4.0,22.0,0.05416666666666667,0.05416666666666667,0.06610566851238527,0.06610566851238527,1.2054794520547945,MALE,1823
stimme_der_schaerpe,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00942235149477751,0.00942235149477751,1.0,UNKNOWN,1823
stimme_des_stabes,1,2.0,1.0,1.0,1.0,0.0,0.0,0.014825653047345032,0.014825653047345032,1.0,UNKNOWN,1823
die_genien,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00942235149477751,0.00942235149477751,1.0,,1823
linda,60,6.0,3.0,3.0,15.0,0.029166666666666667,0.05416666666666667,0.101418546417936,0.101418546417936,0.75,FEMALE,1823
stimme_des_hornes,2,2.0,1.0,1.0,1.0,0.0,0.0,0.014825653047345032,0.014825653047345032,0.5,UNKNOWN,1823
erster_matrose,6,2.0,1.0,1.0,2.0,0.0,0.0,0.014825653047345032,0.014825653047345032,0.3333333333333333,MALE,1823
zadi,19,3.0,2.0,1.0,6.0,0.0,0.0,0.0313793149755059,0.0313793149755059,0.3157894736842105,MALE,1823
fee,7,2.0,1.0,1.0,2.0,0.0,0.0,0.09591068700415843,0.09591068700415843,0.2857142857142857,FEMALE,1823
anfuehrer,4,2.0,1.0,1.0,1.0,0.0,0.0,0.014825653047345032,0.014825653047345032,0.25,MALE,1823
alle_matrosen,5,2.0,1.0,1.0,1.0,0.0,0.0,0.02022895459991255,0.02022895459991255,0.2,,1823
wache,5,2.0,1.0,1.0,1.0,0.022916666666666665,0.15833333333333333,0.03433611035428116,0.03433611035428116,0.2,MALE,1823
hassar,47,6.0,4.0,2.0,4.0,0.051388888888888894,0.2125,0.05862053155775329,0.05862053155775329,0.1702127659574468,MALE,1823
lidi,8,3.0,2.0,1.0,1.0,0.058333333333333334,0.058333333333333334,0.10175940546086475,0.10175940546086475,0.125,FEMALE,1823
erster_husar,5,1.0,1.0,0.0,0.0,0.0,0.0,0.011976437446369746,0.011976437446369746,0.0,MALE,1823
alle_nymphen,1,,,,,,,,,,,1823
quecksilbers_diener,2,,,,,,,,,,,1823
volk,2,,,,,,,,,,,1823
chor_2-1,1,,,,,,,,,,,1823
die_amazonen,1,,,,,,,,,,,1823
chor_2-9,6,,,,,,,,,,,1823
chor_alle_2-20_bis_2-27,7,,,,,,,,,,,1823
sklave,1,,,,,,,,,,MALE,1823
leibarzt,1,,,,,,,,,,MALE,1823
