,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
flottwell,193,28.0,11.0,23.0,17.0,57.0,0.4240143369175627,0.42849462365591395,0.14350538424497775,0.14350538424497775,5.020725388601036,MALE,1834
valentin,166,13.0,6.0,39.0,7.0,40.0,0.07992831541218637,0.07365591397849462,0.139999099731161,0.139999099731161,1.6867469879518073,MALE,1834
arzt,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0064378693465037,0.0064378693465037,1.0,MALE,1834
helm,10,4.0,1.0,1.0,3.0,3.0,0.02795698924731183,0.02795698924731183,0.01191006887264587,0.01191006887264587,0.8999999999999999,MALE,1834
wolf,67,14.0,8.0,17.0,6.0,9.0,0.2010752688172043,0.28225806451612906,0.10699935202998885,0.10699935202998885,0.8059701492537313,MALE,1834
rosa,123,6.0,2.0,27.0,4.0,24.0,0.0,0.07526881720430108,0.08592914353937293,0.08592914353937293,0.7804878048780488,FEMALE,1834
gaertner,14,4.0,2.0,8.0,2.0,4.0,0.0,0.0,0.031523685681353476,0.031523685681353476,0.5714285714285714,MALE,1834
max,6,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0064378693465037,0.0064378693465037,0.3333333333333333,MALE,1834
azur,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0064378693465037,0.0064378693465037,0.3333333333333333,UNKNOWN,1834
hiesel,6,4.0,3.0,3.0,1.0,2.0,0.0,0.023118279569892472,0.017815786044830896,0.017815786044830896,0.3333333333333333,MALE,1834
klugheim,25,4.0,2.0,4.0,2.0,4.0,0.025806451612903226,0.025806451612903226,0.018330133875755092,0.018330133875755092,0.32,MALE,1834
amalie,20,4.0,2.0,4.0,2.0,3.0,0.023655913978494623,0.047311827956989246,0.01675311501922933,0.01675311501922933,0.3,FEMALE,1834
fritz,14,3.0,1.0,1.0,2.0,2.0,0.02258064516129032,0.02258064516129032,0.016543534007431956,0.016543534007431956,0.2857142857142857,MALE,1834
sockel,24,2.0,1.0,4.0,1.0,6.0,0.0,0.0,0.04686052799021673,0.04686052799021673,0.25,MALE,1834
gruendling,8,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0064378693465037,0.0064378693465037,0.25,MALE,1834
liese,32,5.0,3.0,8.0,2.0,4.0,0.00035842293906810036,0.001075268817204301,0.029471582972997904,0.029471582972997904,0.25,FEMALE,1834
flitterstein,12,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.008577891014206774,0.008577891014206774,0.16666666666666666,MALE,1834
alle_1-7_bis_1-9,7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0064378693465037,0.0064378693465037,0.14285714285714285,,1834
chor_gaeste_2-11,7,2.0,1.0,1.0,1.0,1.0,0.0,0.02258064516129032,0.008577891014206774,0.008577891014206774,0.14285714285714285,,1834
pralling,8,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.013468957883616095,0.013468957883616095,0.125,MALE,1834
dumont,38,3.0,2.0,2.0,1.0,4.0,0.024731182795698924,0.024731182795698924,0.05059629067540028,0.05059629067540028,0.10526315789473684,MALE,1834
cheristane,20,3.0,2.0,7.0,1.0,2.0,0.025806451612903226,0.025806451612903226,0.024750198878864316,0.024750198878864316,0.1,FEMALE,1834
der_bettler,31,3.0,2.0,10.0,1.0,3.0,0.024731182795698924,0.024731182795698924,0.03298931147150651,0.03298931147150651,0.0967741935483871,MALE,1834
weib,15,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.049431566322990214,0.049431566322990214,0.06666666666666667,FEMALE,1834
johann,16,4.0,3.0,3.0,1.0,1.0,0.04838709677419355,0.04838709677419355,0.03502334110999943,0.03502334110999943,0.0625,MALE,1834
juwelier,17,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.012857934349612922,0.012857934349612922,0.058823529411764705,MALE,1834
diener_3-3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008577891014206774,0.008577891014206774,0.0,MALE,1834
haushofmeister,5,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.012857934349612922,0.012857934349612922,0.0,MALE,1834
thomas,8,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.014050090540348946,0.014050090540348946,0.0,MALE,1834
betti,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011184627129273303,0.011184627129273303,0.0,FEMALE,1834
walter,7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00981239598312594,0.00981239598312594,0.0,MALE,1834
pepi,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.009412917520548552,0.009412917520548552,0.0,MALE,1834
