,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
hermione,74,16.0,6.0,10.0,28.0,0.22517543859649128,0.19543859649122805,0.11400010824450793,0.11400010824450793,3.783783783783784,FEMALE,1828
vipria,95,12.0,4.0,8.0,22.0,0.07609649122807016,0.13859649122807016,0.09280595797786224,0.09280595797786224,1.8526315789473684,FEMALE,1828
arrogantia,53,10.0,3.0,7.0,13.0,0.021228070175438592,0.1212280701754386,0.059162386189900065,0.059162386189900065,1.7169811320754718,FEMALE,1828
nachtigall,101,17.0,10.0,7.0,21.0,0.29969298245614034,0.31657894736842107,0.13959920966137246,0.13959920966137246,1.4554455445544554,MALE,1828
apollo,8,4.0,1.0,3.0,3.0,0.0005263157894736842,0.007456140350877192,0.014193319408471582,0.014193319408471582,1.125,MALE,1828
amphio,31,6.0,3.0,3.0,7.0,0.012982456140350878,0.017982456140350878,0.05584171490110934,0.05584171490110934,0.6774193548387096,MALE,1828
chor_mehrere_gaeste_alle_1-14_uns_1-15,6,3.0,1.0,2.0,2.0,0.0,0.0,0.0184478199692827,0.0184478199692827,0.6666666666666666,,1828
distichon,47,7.0,4.0,3.0,10.0,0.049561403508771924,0.04798245614035087,0.08583127710853794,0.08583127710853794,0.6382978723404256,MALE,1828
alle_chor_alles_2-12,15,6.0,3.0,3.0,3.0,0.0027192982456140345,0.10701754385964911,0.023865028572208867,0.023865028572208867,0.6000000000000001,,1828
affriduro,19,5.0,3.0,2.0,5.0,0.0043859649122807015,0.02368421052631579,0.0284104357330281,0.0284104357330281,0.5263157894736842,MALE,1828
narr,73,11.0,7.0,4.0,8.0,0.11969298245614036,0.10947368421052632,0.11829350223829606,0.11829350223829606,0.4383561643835616,MALE,1828
phantasie,39,7.0,5.0,2.0,5.0,0.01162280701754386,0.002631578947368421,0.0614212971582929,0.0614212971582929,0.2564102564102564,UNKNOWN,1828
alles_alle_mehrere_1-7,5,1.0,0.0,1.0,1.0,0.0,0.0,0.010607520292842405,0.010607520292842405,0.2,,1828
fremder,11,1.0,0.0,1.0,2.0,0.0,0.0,0.010607520292842405,0.010607520292842405,0.18181818181818182,MALE,1828
odi,27,5.0,3.0,2.0,2.0,0.06578947368421052,0.09736842105263158,0.04660947675213714,0.04660947675213714,0.14814814814814814,MALE,1828
schuster,7,2.0,1.0,1.0,1.0,0.0,0.0,0.016257844915951117,0.016257844915951117,0.14285714285714285,MALE,1828
wirt,10,2.0,1.0,1.0,1.0,0.04473684210526316,0.04473684210526316,0.0184478199692827,0.0184478199692827,0.1,MALE,1828
chor_alle_2-3_bis_2-5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0231763580996356,0.0231763580996356,0.0,,1828
ein_dichter_2-3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.030416696628594468,0.030416696628594468,0.0,MALE,1828
ein_dichter_2-12,1,1.0,1.0,0.0,0.0,0.0,0.0,0.014068271294870392,0.014068271294870392,0.0,MALE,1828
chor_alles_mehrere_alle_1-1_bis_1-6,10,2.0,2.0,0.0,0.0,0.0,0.0,0.01793643459097362,0.01793643459097362,0.0,,1828
spengler,1,,,,,,,,,,MALE,1828
kellner,2,,,,,,,,,,MALE,1828
alle_dichter,1,,,,,,,,,,,1828
