,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
phalarius,38,11.0,2.0,9.0,22.0,0.09743589743589744,0.09743589743589744,0.017987666728085435,0.017987666728085435,5.210526315789474,MALE,1829
dardonius,47,10.0,3.0,7.0,16.0,0.08301282051282051,0.19166666666666668,0.02395156872782872,0.02395156872782872,2.382978723404255,MALE,1829
simplizius,224,20.0,9.0,11.0,45.0,0.17895299145299146,0.18173076923076922,0.11840536305361717,0.11840536305361717,2.209821428571429,MALE,1829
ewald,145,13.0,7.0,6.0,34.0,0.25801282051282054,0.24294871794871795,0.1104410261333917,0.1104410261333917,1.4068965517241379,MALE,1829
hades,23,6.0,2.0,4.0,6.0,0.13141025641025642,0.1387820512820513,0.022542053141958507,0.022542053141958507,1.0434782608695652,MALE,1829
zwei_gerichtsdiener,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007712170022398434,0.007712170022398434,1.0,,1829
lucina,40,9.0,5.0,4.0,7.0,0.21025641025641026,0.21025641025641026,0.07577069132211627,0.07577069132211627,0.7,FEMALE,1829
atritia,29,4.0,2.0,2.0,10.0,0.007158119658119658,0.003205128205128205,0.039551563039953726,0.039551563039953726,0.6896551724137931,FEMALE,1829
riegelsam,35,3.0,1.0,2.0,12.0,0.0,0.027243589743589744,0.009948765776086915,0.009948765776086915,0.6857142857142857,MALE,1829
abukar,6,4.0,2.0,2.0,2.0,0.011538461538461539,0.06891025641025642,0.016288814651983837,0.016288814651983837,0.6666666666666666,MALE,1829
kreon,16,4.0,2.0,2.0,5.0,0.11987179487179488,0.11987179487179488,0.029307439575221878,0.029307439575221878,0.625,MALE,1829
olimar,23,5.0,2.0,3.0,4.0,0.0013888888888888892,0.0,0.02983486739046928,0.02983486739046928,0.5217391304347826,MALE,1829
clitonius,6,2.0,1.0,1.0,3.0,0.0,0.0,0.053486898815628514,0.053486898815628514,0.5,MALE,1829
hoeflinge,2,1.0,0.0,1.0,1.0,0.0,0.0,0.007712170022398434,0.007712170022398434,0.5,,1829
kurzer_chor_gejammer,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0169130545589742,0.0169130545589742,0.5,,1829
astrachan,17,5.0,3.0,2.0,4.0,0.003205128205128205,0.009294871794871795,0.027684886332284334,0.027684886332284334,0.47058823529411764,MALE,1829
aloe,28,4.0,3.0,1.0,12.0,0.0,0.0,0.019141240290142875,0.019141240290142875,0.42857142857142855,FEMALE,1829
arete,33,2.0,1.0,1.0,14.0,0.0,0.0,0.01665855303715236,0.01665855303715236,0.42424242424242425,FEMALE,1829
lulu,14,3.0,1.0,2.0,2.0,0.0016025641025641025,0.011217948717948718,0.009948765776086915,0.009948765776086915,0.2857142857142857,FEMALE,1829
harmodius,6,2.0,1.0,1.0,1.0,0.000641025641025641,0.000641025641025641,0.014267578143687745,0.014267578143687745,0.16666666666666666,MALE,1829
heraklius,6,1.0,0.0,1.0,1.0,0.0,0.0,0.007712170022398434,0.007712170022398434,0.16666666666666666,MALE,1829
genius_des_todes,6,2.0,1.0,1.0,1.0,0.0,0.0,0.03531482363212574,0.03531482363212574,0.16666666666666666,MALE,1829
chor_alle_alles_2-15_und_2-16,6,1.0,0.0,1.0,1.0,0.0,0.0,0.007712170022398434,0.007712170022398434,0.16666666666666666,,1829
antrokles,9,3.0,2.0,1.0,1.0,0.01282051282051282,0.01282051282051282,0.05386565468247085,0.05386565468247085,0.1111111111111111,MALE,1829
epaminondas,18,2.0,1.0,1.0,1.0,0.01282051282051282,0.01282051282051282,0.032314723312971735,0.032314723312971735,0.05555555555555555,MALE,1829
octavian,8,1.0,1.0,0.0,0.0,0.0,0.0,0.011187146355754836,0.011187146355754836,0.0,MALE,1829
thestius,11,1.0,1.0,0.0,0.0,0.0,0.0,0.01983973559231032,0.01983973559231032,0.0,MALE,1829
alekto,4,1.0,1.0,0.0,0.0,0.0,0.0,0.008407165289069714,0.008407165289069714,0.0,FEMALE,1829
die_drei_geister,2,1.0,1.0,0.0,0.0,0.0,0.0,0.008407165289069714,0.008407165289069714,0.0,,1829
tisiphone,7,1.0,1.0,0.0,0.0,0.0,0.0,0.009102160555740995,0.009102160555740995,0.0,FEMALE,1829
die_frauen,3,1.0,1.0,0.0,0.0,0.0,0.0,0.008984616628065652,0.008984616628065652,0.0,,1829
die_maenner,2,1.0,1.0,0.0,0.0,0.0,0.0,0.008984616628065652,0.008984616628065652,0.0,,1829
antrogaeus,2,1.0,1.0,0.0,0.0,0.0,0.0,0.009102160555740995,0.009102160555740995,0.0,MALE,1829
ein_hoefling,4,1.0,1.0,0.0,0.0,0.0,0.0,0.010257063233732868,0.010257063233732868,0.0,MALE,1829
ein_jaeger,2,1.0,1.0,0.0,0.0,0.0,0.0,0.009102160555740995,0.009102160555740995,0.0,MALE,1829
die_krieger,8,1.0,1.0,0.0,0.0,0.0,0.0,0.008984616628065652,0.008984616628065652,0.0,,1829
hippomedon,6,1.0,1.0,0.0,0.0,0.0,0.0,0.01665855303715236,0.01665855303715236,0.0,MALE,1829
eine_frau,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009948765776086915,0.009948765776086915,0.0,FEMALE,1829
argos,1,1.0,1.0,0.0,0.0,0.0,0.0,0.03518044472788479,0.03518044472788479,0.0,MALE,1829
alle_1-19,2,1.0,1.0,0.0,0.0,0.0,0.0,0.010473280433615874,0.010473280433615874,0.0,,1829
alles_chor_2-19,3,1.0,1.0,0.0,0.0,0.0,0.0,0.010905670502070341,0.010905670502070341,0.0,,1829
jubelchor,1,,,,,,,,,,,1829
chor_1-2,1,,,,,,,,,,,1829
sillius,1,,,,,,,,,,MALE,1829
alles_1-14,1,,,,,,,,,,,1829
diener,2,,,,,,,,,,MALE,1829
kurzer_chor_der_furien,1,,,,,,,,,,,1829
adrasto,2,,,,,,,,,,MALE,1829
jagdchor,1,,,,,,,,,,,1829
fanfu,1,,,,,,,,,,FEMALE,1829
nimmelot,1,,,,,,,,,,MALE,1829
alle_2-9,1,,,,,,,,,,,1829
geschrei,2,,,,,,,,,,,1829
megaera,2,,,,,,,,,,FEMALE,1829
