,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
alzinde,79,16.0,7.0,9.0,27.0,0.20526695526695526,0.20923520923520925,0.1305075344125043,0.1305075344125043,3.0759493670886076,FEMALE,1827
amtmann,47,7.0,2.0,5.0,21.0,0.03427128427128427,0.04329004329004329,0.043034471316638054,0.043034471316638054,2.234042553191489,MALE,1827
genius_der_vergaenglichkeit,15,5.0,2.0,3.0,8.0,0.0,0.024531024531024532,0.02633535734918053,0.02633535734918053,1.6,UNKNOWN,1827
hoanghu,19,7.0,3.0,4.0,7.0,0.047619047619047616,0.05627705627705628,0.03854298655657293,0.03854298655657293,1.4736842105263157,MALE,1827
hassar,4,3.0,1.0,2.0,2.0,0.0,0.0,0.036257147387108814,0.036257147387108814,1.0,MALE,1827
erster_geist,1,1.0,0.0,1.0,1.0,0.0,0.0,0.013437748395304285,0.013437748395304285,1.0,UNKNOWN,1827
ein_haeuptling,1,2.0,1.0,1.0,1.0,0.0,0.0,0.018117969607358588,0.018117969607358588,1.0,MALE,1827
haenfling,12,2.0,0.0,2.0,4.0,0.0,0.0,0.013437748395304285,0.013437748395304285,0.6666666666666666,MALE,1827
rossi,28,5.0,3.0,2.0,9.0,0.004329004329004329,0.008658008658008658,0.046453104672086576,0.046453104672086576,0.6428571428571429,MALE,1827
omar,10,4.0,2.0,2.0,3.0,0.004329004329004329,0.004329004329004329,0.04026927971478095,0.04026927971478095,0.6,MALE,1827
gluthahn,92,8.0,5.0,3.0,18.0,0.05772005772005771,0.047619047619047616,0.15046085675250512,0.15046085675250512,0.5869565217391305,MALE,1827
mirzel,43,5.0,2.0,3.0,7.0,0.021645021645021644,0.021645021645021644,0.06710512047763773,0.06710512047763773,0.48837209302325585,FEMALE,1827
trautel,33,2.0,1.0,1.0,7.0,0.0,0.0,0.07738071913827507,0.07738071913827507,0.21212121212121213,FEMALE,1827
volk,5,1.0,0.0,1.0,1.0,0.0,0.0,0.013437748395304285,0.013437748395304285,0.2,,1827
hans,44,5.0,3.0,2.0,4.0,0.003607503607503607,0.09523809523809523,0.039068390227840075,0.039068390227840075,0.18181818181818182,MALE,1827
genius_der_tugend,24,4.0,3.0,1.0,4.0,0.023809523809523808,0.023809523809523808,0.0455775973801798,0.0455775973801798,0.16666666666666666,MALE,1827
carambuco,12,1.0,0.0,1.0,1.0,0.0,0.0,0.013437748395304285,0.013437748395304285,0.08333333333333333,MALE,1827
ossa,8,1.0,1.0,0.0,0.0,0.0,0.0,0.02485987463402474,0.02485987463402474,0.0,FEMALE,1827
erster_schatten,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0521789219113514,0.0521789219113514,0.0,UNKNOWN,1827
moisasur,6,2.0,2.0,0.0,0.0,0.0,0.0,0.03307726237584668,0.03307726237584668,0.0,MALE,1827
mansor,7,2.0,2.0,0.0,0.0,0.0,0.0,0.040256852971962756,0.040256852971962756,0.0,MALE,1827
aktuar,3,1.0,1.0,0.0,0.0,0.0,0.0,0.021585988660639138,0.021585988660639138,0.0,MALE,1827
kohlenbauer,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015179570872289326,0.015179570872289326,0.0,MALE,1827
ariel,1,,,,,,,,,,MALE,1827
hausbediente,3,,,,,,,,,,,1827
chor_der_genien,2,,,,,,,,,,,1827
schar_grauer_geister_mit_sensen,1,,,,,,,,,,,1827
eine_stimme,1,,,,,,,,,,UNKNOWN,1827
kerkermeister,1,,,,,,,,,,MALE,1827
