,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
baronin,233,16.0,8.0,46.0,8.0,82.0,0.3712121212121212,0.2525252525252525,0.28247595295118577,0.28247595295118577,2.815450643776824,FEMALE,1825
loewenklau,35,10.0,4.0,5.0,6.0,14.0,0.18686868686868685,0.5404040404040404,0.0576651642960615,0.0576651642960615,2.4000000000000004,MALE,1825
schoenburg,63,9.0,3.0,10.0,6.0,14.0,0.10353535353535355,0.13636363636363635,0.05836724940985702,0.05836724940985702,1.3333333333333333,MALE,1825
baron,68,8.0,4.0,20.0,4.0,20.0,0.025252525252525252,0.18181818181818182,0.11852007470697852,0.11852007470697852,1.1764705882352942,MALE,1825
witte,52,6.0,3.0,17.0,3.0,15.0,0.08207070707070706,0.06818181818181818,0.06982105682117258,0.06982105682117258,0.8653846153846153,MALE,1825
horst,71,7.0,4.0,18.0,3.0,14.0,0.03787878787878787,0.12373737373737376,0.07432789512793075,0.07432789512793075,0.5915492957746479,MALE,1825
feldkirch,39,3.0,1.0,13.0,2.0,7.0,0.0,0.0,0.054542697759242885,0.054542697759242885,0.358974358974359,MALE,1825
till,71,5.0,3.0,23.0,2.0,10.0,0.003787878787878788,0.04419191919191919,0.10175850253842819,0.10175850253842819,0.28169014084507044,MALE,1825
sophie,69,5.0,3.0,21.0,2.0,6.0,0.007575757575757576,0.13636363636363635,0.0835145194462591,0.0835145194462591,0.17391304347826086,FEMALE,1825
ritter,22,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.023479003433064763,0.023479003433064763,0.045454545454545456,MALE,1825
bedienter_baronin,7,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.031117536601612525,0.031117536601612525,0.0,MALE,1825
polizeidiener,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.024389749190486264,0.024389749190486264,0.0,MALE,1825
luchs,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.020020597717720374,0.020020597717720374,0.0,MALE,1825
