,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
may,43,9.0,2.0,7.0,18.0,0.25,0.25,0.14347707362503173,0.14347707362503173,2.930232558139535,MALE,1816
reisender,29,4.0,1.0,3.0,7.0,0.0,0.0,0.09490619060621783,0.09490619060621783,0.7241379310344828,MALE,1816
handlungsdiener,2,1.0,0.0,1.0,1.0,0.0,0.0,0.06102975238619412,0.06102975238619412,0.5,MALE,1816
mutter,40,5.0,3.0,2.0,7.0,0.125,0.125,0.16305500508845822,0.16305500508845822,0.35,FEMALE,1816
heiter,9,2.0,1.0,1.0,1.0,0.0,0.008928571428571428,0.06780504003019885,0.06780504003019885,0.1111111111111111,MALE,1816
philippine,32,4.0,4.0,0.0,0.0,0.0,0.0,0.24598595524128822,0.24598595524128822,0.0,FEMALE,1816
helmi,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0745803276742036,0.0745803276742036,0.0,MALE,1816
fritz,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0745803276742036,0.0745803276742036,0.0,MALE,1816
verarmter,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0745803276742036,0.0745803276742036,0.0,MALE,1816
fanny,1,,,,,,,,,,FEMALE,1816
bebi,2,,,,,,,,,,MALE,1816
