,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
golo,98,10.0,5.0,5.0,19.0,0.35416666666666663,0.3611111111111111,0.24260531156160325,0.24260531156160325,0.9693877551020408,MALE,1850
genoveva,83,7.0,3.0,4.0,20.0,0.2708333333333333,0.375,0.1332966630341294,0.1332966630341294,0.963855421686747,FEMALE,1850
siegfried,61,7.0,2.0,5.0,11.0,0.15277777777777776,0.09722222222222221,0.15893082979220557,0.15893082979220557,0.9016393442622951,MALE,1850
margaretha,58,7.0,4.0,3.0,12.0,0.40277777777777773,0.4583333333333333,0.22366001341753253,0.22366001341753253,0.6206896551724138,FEMALE,1850
dragos_geist,6,2.0,1.0,1.0,1.0,0.0,0.0,0.03575258695012537,0.03575258695012537,0.16666666666666666,MALE,1850
balthasar,23,3.0,2.0,1.0,3.0,0.0,0.15277777777777776,0.05342386959542228,0.05342386959542228,0.13043478260869565,MALE,1850
caspar,10,2.0,1.0,1.0,1.0,0.05555555555555555,0.2777777777777778,0.031240280968629144,0.031240280968629144,0.1,MALE,1850
drago,18,2.0,1.0,1.0,1.0,0.0,0.0,0.06332394891864837,0.06332394891864837,0.05555555555555555,MALE,1850
chor_2,11,1.0,1.0,0.0,0.0,0.0,0.0,0.025575212312913813,0.025575212312913813,0.0,,1850
chor_der_frauen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.03219128344879042,0.03219128344879042,0.0,,1850
chor_1,5,,,,,,,,,,,1850
hidulfus,4,,,,,,,,,,MALE,1850
knechte,2,,,,,,,,,,,1850
stimmen_hinter_der_scene,3,,,,,,,,,,,1850
chor_gesang_schlusschor_alle_4,6,,,,,,,,,,,1850
chor_der_maenner,1,,,,,,,,,,,1850
maedchen,2,,,,,,,,,,,1850
juenglinge,2,,,,,,,,,,,1850
