,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
richter,11,6.0,0.0,6.0,6.0,0.0,0.0,0.01502953227457,0.01502953227457,3.2727272727272725,MALE,1847
dienerinnen,2,2.0,0.0,2.0,2.0,0.0,0.0,0.01502953227457,0.01502953227457,2.0,,1847
plumkett,96,9.0,5.0,4.0,31.0,0.0380952380952381,0.03333333333333334,0.15330367508866874,0.15330367508866874,1.2916666666666667,MALE,1847
lady,180,14.0,7.0,7.0,33.0,0.1,0.10476190476190478,0.21799172630013136,0.21799172630013136,1.2833333333333332,FEMALE,1847
tristan,58,8.0,4.0,4.0,14.0,0.028571428571428574,0.14285714285714288,0.05660408427564767,0.05660408427564767,0.9655172413793104,MALE,1847
nancy,99,7.0,3.0,4.0,22.0,0.009523809523809525,0.01904761904761905,0.13359367122521293,0.13359367122521293,0.8888888888888888,FEMALE,1847
lyonel,107,7.0,4.0,3.0,24.0,0.0,0.0,0.11673384363315861,0.11673384363315861,0.6728971962616822,MALE,1847
einige_knechte_die_knechte_andere_knechte,4,1.0,0.0,1.0,2.0,0.0,0.0,0.01502953227457,0.01502953227457,0.5,,1847
hofgesellschaft,5,2.0,1.0,1.0,2.0,0.0,0.09047619047619049,0.01846624361835694,0.01846624361835694,0.4,,1847
landleute_einige_alle_volk_frauen_maenner,21,4.0,3.0,1.0,1.0,0.0,0.0,0.1517800383705854,0.1517800383705854,0.047619047619047616,,1847
paechter,9,1.0,1.0,0.0,0.0,0.0,0.0,0.02064453460415249,0.02064453460415249,0.0,,1847
erste_magd,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01715871721207513,0.01715871721207513,0.0,FEMALE,1847
ein_paechter,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01715871721207513,0.01715871721207513,0.0,MALE,1847
zweite_magd,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01715871721207513,0.01715871721207513,0.0,FEMALE,1847
eine_paechterin,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01715871721207513,0.01715871721207513,0.0,FEMALE,1847
dritte_magd,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01715871721207513,0.01715871721207513,0.0,FEMALE,1847
erster_diener,1,,,,,,,,,,MALE,1847
zweiter_diener,1,,,,,,,,,,MALE,1847
dritter_diener,1,,,,,,,,,,MALE,1847
maegde_vier_maegde_weitere_maegde_alle_maegde,14,,,,,,,,,,,1847
das_gesinde,1,,,,,,,,,,,1847
jaegerinnen,3,,,,,,,,,,,1847
jaeger,2,,,,,,,,,,,1847
