,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
helene,33,9.0,3.0,5.0,6.0,11.0,0.1043956043956044,0.19780219780219782,0.041433862423815485,0.041433862423815485,2.0,FEMALE,1867
manfred,67,9.0,4.0,14.0,5.0,18.0,0.06593406593406594,0.008241758241758242,0.10536265543852358,0.10536265543852358,1.3432835820895521,MALE,1867
eine_nonne,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0151691476765805,0.0151691476765805,1.0,FEMALE,1867
ghismonde,47,9.0,5.0,10.0,4.0,11.0,0.20054945054945056,0.20329670329670332,0.10529461978424892,0.10529461978424892,0.9361702127659575,FEMALE,1867
chor_der_verbannten,12,4.0,2.0,3.0,2.0,4.0,0.0521978021978022,0.0631868131868132,0.14721372978300198,0.14721372978300198,0.6666666666666666,,1867
eckart,20,5.0,2.0,6.0,3.0,3.0,0.041208791208791215,0.09615384615384616,0.04324834029880164,0.04324834029880164,0.44999999999999996,MALE,1867
fulco,3,2.0,1.0,1.0,1.0,1.0,0.005494505494505495,0.005494505494505495,0.02806294195696055,0.02806294195696055,0.3333333333333333,MALE,1867
chor_der_nonnen_nonnenchor,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0151691476765805,0.0151691476765805,0.3333333333333333,,1867
borello,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0151691476765805,0.0151691476765805,0.3333333333333333,MALE,1867
chor_der_ritter,4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.10112140245075213,0.10112140245075213,0.25,,1867
chor_der_fischer_einige_fischer_andere,6,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.15533598858211783,0.15533598858211783,0.16666666666666666,,1867
kardinal,18,4.0,3.0,7.0,1.0,1.0,0.008241758241758242,0.03296703296703297,0.13619903113106602,0.13619903113106602,0.05555555555555555,MALE,1867
fasanella,3,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.05127649325817131,0.05127649325817131,0.0,MALE,1867
page,5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.021572612016339233,0.021572612016339233,0.0,MALE,1867
chor_der_frauen,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.018370879846459867,0.018370879846459867,0.0,,1867
