,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
mutter_lueckel,240,23,11,12,77,0.34893162393162397,0.15064102564102563,0.16795886419312203,0.16795886419312203,3.8500000000000005,FEMALE,1899
langenscheidt,167,12,6,6,45,0.009188034188034187,0.02564102564102564,0.090339023358618,0.090339023358618,1.6167664670658684,MALE,1899
vonderscheer,26,6,2,4,10,0.0,0.016025641025641024,0.017788536149397155,0.017788536149397155,1.5384615384615385,MALE,1899
liesa,142,14,7,7,31,0.03525641025641025,0.01282051282051282,0.12775357828874115,0.12775357828874115,1.528169014084507,FEMALE,1899
kloenne,107,12,4,8,20,0.02457264957264957,0.10897435897435898,0.026812735635354572,0.026812735635354572,1.4953271028037383,MALE,1899
der_alte_schniermann,111,19,10,9,18,0.31730769230769224,0.5608974358974359,0.11407801858149755,0.11407801858149755,1.4594594594594597,MALE,1899
trina,95,13,8,5,27,0.10320512820512819,0.14743589743589744,0.10631712384478957,0.10631712384478957,1.4210526315789473,FEMALE,1899
koerting,183,14,6,8,32,0.028418803418803415,0.04487179487179487,0.09722861451636651,0.09722861451636651,1.3989071038251366,MALE,1899
jan_biggen,26,6,3,3,9,0.0,0.11217948717948717,0.024246205516396984,0.024246205516396984,1.0384615384615383,MALE,1899
hannchen,148,10,5,5,29,0.036965811965811966,0.08653846153846154,0.1190464282309102,0.1190464282309102,0.9797297297297297,FEMALE,1899
pittjupp,33,7,4,3,10,0.003205128205128205,0.019230769230769232,0.03696019783389122,0.03696019783389122,0.9090909090909092,MALE,1899
anngret,2,2,1,1,1,0.0,0.0,0.02148848797806555,0.02148848797806555,0.5,FEMALE,1899
hinnaeck,6,3,2,1,2,0.0,0.0,0.018380486189518548,0.018380486189518548,0.3333333333333333,MALE,1899
wittbraeuke,32,5,4,1,1,0.003205128205128205,0.060897435897435896,0.03160169968333081,0.03160169968333081,0.03125,MALE,1899
