,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
ulbrich,85,20.0,10.0,10.0,18.0,0.20661764705882354,0.32340686274509806,0.06499003677648274,0.06499003677648274,2.1176470588235294,MALE,1902
weigel,144,14.0,5.0,9.0,33.0,0.03658088235294117,0.06047794117647058,0.05862139935925828,0.05862139935925828,2.0625,MALE,1902
ermischer,185,19.0,9.0,10.0,34.0,0.23382352941176468,0.21378676470588234,0.1428361671908971,0.1428361671908971,1.837837837837838,MALE,1902
frau_seifert,134,15.0,7.0,8.0,27.0,0.06090686274509804,0.06317401960784312,0.16208754425184718,0.16208754425184718,1.6119402985074627,FEMALE,1902
neubert,97,14.0,6.0,8.0,19.0,0.028799019607843136,0.039767156862745096,0.03843733634865791,0.03843733634865791,1.5670103092783505,MALE,1902
frau_ermischer,74,10.0,4.0,6.0,18.0,0.06734068627450981,0.10110294117647059,0.05992114196874501,0.05992114196874501,1.4594594594594597,FEMALE,1902
gertrud,9,5.0,2.0,3.0,4.0,0.004411764705882354,0.09080882352941176,0.01832594031297829,0.01832594031297829,1.3333333333333333,FEMALE,1902
frau_schoenherr,54,14.0,8.0,6.0,11.0,0.17310049019607843,0.25416666666666665,0.08196274669159316,0.08196274669159316,1.222222222222222,FEMALE,1902
fraenzel,1,2.0,1.0,1.0,1.0,0.05514705882352941,0.05514705882352941,0.01911683570589854,0.01911683570589854,1.0,FEMALE,1902
schoenherr,74,10.0,5.0,5.0,14.0,0.04246323529411764,0.029963235294117648,0.051317518807071597,0.051317518807071597,0.945945945945946,MALE,1902
neumerkel,70,14.0,9.0,5.0,12.0,0.06256127450980392,0.11409313725490197,0.06260539844640949,0.06260539844640949,0.8571428571428572,MALE,1902
die_waldarbeiter,9,2.0,0.0,2.0,2.0,0.0,0.0,0.008923334053488666,0.008923334053488666,0.4444444444444444,,1902
frau_ulbrich,18,5.0,3.0,2.0,3.0,0.0007352941176470588,0.0,0.032345908975409135,0.032345908975409135,0.3333333333333333,FEMALE,1902
seifert,129,9.0,6.0,3.0,11.0,0.008700980392156863,0.00196078431372549,0.13156122635403694,0.13156122635403694,0.2558139534883721,MALE,1902
heinerle,7,2.0,1.0,1.0,1.0,0.05514705882352941,0.05514705882352941,0.011992307339737166,0.011992307339737166,0.14285714285714285,MALE,1902
maari,16,3.0,2.0,1.0,1.0,0.0,0.0,0.02738344315352905,0.02738344315352905,0.0625,FEMALE,1902
frau_neubert,24,3.0,2.0,1.0,1.0,0.004105392156862745,0.04387254901960785,0.015077504060956318,0.015077504060956318,0.041666666666666664,FEMALE,1902
ein_bauer,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012494210203003318,0.012494210203003318,0.0,MALE,1902
die_schnitzler_schnitzlersleute,1,,,,,,,,,,,1902
die_bauern,4,,,,,,,,,,,1902
