,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_junge_mensch,56,18.0,7.0,11.0,20.0,0.08720955048686141,0.19799719887955183,0.03906647881624621,0.03906647881624621,3.928571428571429,MALE,1919
nauke,105,21.0,9.0,12.0,26.0,0.08429771908763507,0.08295518207282913,0.049623816663126735,0.049623816663126735,2.9714285714285715,MALE,1919
der_bucklige,11,6.0,1.0,5.0,5.0,0.006274509803921568,0.018669467787114848,0.007290187420134108,0.007290187420134108,2.2727272727272725,MALE,1919
anna,89,13.0,7.0,6.0,28.0,0.08674536481259171,0.0546358543417367,0.054487735382395784,0.054487735382395784,1.8876404494382022,FEMALE,1919
der_gouverneur,119,18.0,11.0,7.0,29.0,0.1020371481926104,0.07351540616246499,0.10922789869910661,0.10922789869910661,1.7058823529411764,MALE,1919
der_mann,217,27.0,17.0,10.0,34.0,0.2477090836334534,0.2350700280112045,0.17367079673448327,0.17367079673448327,1.5668202764976957,MALE,1919
die_frau,69,9.0,3.0,6.0,18.0,0.04970321461918101,0.044873949579831936,0.03531685619504087,0.03531685619504087,1.5652173913043477,FEMALE,1919
ein_greis_aus_dem_volk,3,2.0,0.0,2.0,2.0,0.0,0.0,0.00540704709207305,0.00540704709207305,1.3333333333333333,MALE,1919
erste_revolutionaerin,31,7.0,3.0,4.0,10.0,0.045723622782446315,0.05857142857142858,0.02604261428964999,0.02604261428964999,1.2903225806451613,FEMALE,1919
der_fuehrer_der_buerger,37,5.0,2.0,3.0,14.0,0.025338468720821666,0.023529411764705882,0.031411508601896225,0.031411508601896225,1.135135135135135,MALE,1919
der_offizier,41,10.0,5.0,5.0,9.0,0.056692010137388296,0.14134453781512604,0.01844688426753449,0.01844688426753449,1.0975609756097562,MALE,1919
erster_gefangener,25,9.0,4.0,5.0,5.0,0.014136321195144725,0.04133053221288516,0.015464062320504405,0.015464062320504405,1.0,MALE,1919
stimme_aus_dem_volk_4-8,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00540704709207305,0.00540704709207305,1.0,UNKNOWN,1919
ein_herr,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00540704709207305,0.00540704709207305,1.0,MALE,1919
zweiter_gefangener,11,5.0,2.0,3.0,3.0,0.0004201680672268908,0.0023809523809523807,0.009658306901331484,0.009658306901331484,0.8181818181818181,MALE,1919
