,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
posthalter,350,33.0,18.0,15.0,106.0,0.21471915536570707,0.07800766283524906,0.1473615023500294,0.1473615023500294,4.542857142857144,MALE,1895
rettinger,204,23.0,10.0,13.0,59.0,0.1088047983306604,0.1081800766283525,0.06422325003959099,0.06422325003959099,3.759803921568628,MALE,1895
posthalterin,176,22.0,9.0,13.0,45.0,0.04305498460670874,0.09648056923918992,0.06889821686443467,0.06889821686443467,3.3238636363636362,FEMALE,1895
lorenz,87,16.0,8.0,8.0,22.0,0.09644626127384746,0.12055555555555554,0.0452901736631055,0.0452901736631055,2.0229885057471266,MALE,1895
pfarrer,111,14.0,6.0,8.0,28.0,0.06912424740010947,0.06312260536398467,0.057434001762924805,0.057434001762924805,2.018018018018018,MALE,1895
frau_specht,74,13.0,5.0,8.0,18.0,0.029771151581496402,0.0416776135741653,0.032656763524875336,0.032656763524875336,1.945945945945946,FEMALE,1895
hulda,59,15.0,8.0,7.0,14.0,0.04774783167024547,0.07592227695675971,0.02877973342129811,0.02877973342129811,1.6610169491525424,FEMALE,1895
knackberger,32,10.0,4.0,6.0,8.0,0.020524311257069876,0.072088122605364,0.02215283613011436,0.02215283613011436,1.5,MALE,1895
amtsrichter,68,11.0,5.0,6.0,17.0,0.012066850773747324,0.02203065134099617,0.03169855887431229,0.03169855887431229,1.5,MALE,1895
frau_wanninger,100,15.0,8.0,7.0,20.0,0.04186405548474514,0.06553639846743295,0.043210827405945985,0.043210827405945985,1.4000000000000001,FEMALE,1895
bernhuber,36,12.0,6.0,6.0,8.0,0.02044111061352441,0.16717843459222767,0.022620686687665675,0.022620686687665675,1.3333333333333333,MALE,1895
foitenleitner,100,16.0,8.0,8.0,16.0,0.04994829244829245,0.05373563218390805,0.04978098152094329,0.04978098152094329,1.28,MALE,1895
kederbauer,70,11.0,6.0,5.0,16.0,0.009226003881176295,0.007222222222222221,0.04126743897074494,0.04126743897074494,1.1428571428571428,MALE,1895
seehansele,73,17.0,9.0,8.0,10.0,0.11554424821666195,0.1846743295019157,0.04949475725633056,0.04949475725633056,1.095890410958904,MALE,1895
wally,33,9.0,4.0,5.0,7.0,0.04757687714584266,0.05171866447728517,0.0260057841004091,0.0260057841004091,1.0606060606060606,FEMALE,1895
flora,41,10.0,4.0,6.0,7.0,0.027644341609858847,0.08086754241926655,0.021768957543844218,0.021768957543844218,1.024390243902439,FEMALE,1895
nusser,106,18.0,10.0,8.0,13.0,0.04109710053675571,0.13221401204159827,0.03637001497122786,0.03637001497122786,0.9811320754716981,MALE,1895
herr_von_beck,86,14.0,8.0,6.0,13.0,0.0161344322982254,0.018314176245210728,0.0371972035225861,0.0371972035225861,0.9069767441860465,MALE,1895
goetzensperger,113,12.0,7.0,5.0,18.0,0.013400284262353223,0.0061111111111111106,0.03775464663384799,0.03775464663384799,0.7964601769911505,MALE,1895
mohrenwirt,69,13.0,8.0,5.0,9.0,0.019924325355359835,0.12235905856595512,0.03637112412576473,0.03637112412576473,0.6521739130434783,MALE,1895
rosl,12,4.0,2.0,2.0,3.0,0.0012037037037037038,0.007452107279693487,0.010979694943832718,0.010979694943832718,0.5,FEMALE,1895
alle_3,2,1.0,0.0,1.0,1.0,0.0,0.0,0.005230451167265544,0.005230451167265544,0.5,,1895
wehrmuellerin,14,3.0,2.0,1.0,4.0,0.0,0.0,0.014687079762130783,0.014687079762130783,0.2857142857142857,FEMALE,1895
mutzenbauer,15,5.0,3.0,2.0,2.0,0.0,0.0749808429118774,0.012039722141918733,0.012039722141918733,0.26666666666666666,MALE,1895
alle-die_zuhoerer_1,4,1.0,0.0,1.0,1.0,0.0,0.0,0.005230451167265544,0.005230451167265544,0.25,,1895
minna,24,5.0,3.0,2.0,3.0,0.002011494252873563,0.02145593869731801,0.01627349817695932,0.01627349817695932,0.25,FEMALE,1895
burgl,6,1.0,0.0,1.0,1.0,0.0,0.0,0.005230451167265544,0.005230451167265544,0.16666666666666666,FEMALE,1895
fraeulein_schaitzach,8,2.0,1.0,1.0,1.0,0.0,0.0,0.006973898988307836,0.006973898988307836,0.125,FEMALE,1895
seppl,16,2.0,1.0,1.0,1.0,0.0,0.0,0.008730115966803138,0.008730115966803138,0.0625,MALE,1895
hies,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0064121091196725705,0.0064121091196725705,0.0,MALE,1895
alle_2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.007875068028582224,0.007875068028582224,0.0,,1895
gendarm,1,,,,,,,,,,MALE,1895
