,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
faustine,133,16.0,9.0,27.0,7.0,37.0,0.12469806763285025,0.09057971014492754,0.2752713291125788,0.2752713291125788,1.9473684210526314,FEMALE,1898
der_dritte_muellerbursche,6,3.0,1.0,1.0,2.0,5.0,0.0018115942028985507,0.0018115942028985507,0.02369269438973537,0.02369269438973537,1.6666666666666667,MALE,1898
hertha,8,3.0,1.0,1.0,2.0,4.0,0.0024154589371980675,0.021739130434782608,0.017268833761124334,0.017268833761124334,1.0,FEMALE,1898
zweite_dame,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01095618227250527,0.01095618227250527,1.0,FEMALE,1898
fuehriana,9,4.0,1.0,1.0,3.0,3.0,0.021739130434782608,0.03985507246376812,0.026298635832442897,0.026298635832442897,1.0,FEMALE,1898
innocentia,32,7.0,4.0,9.0,3.0,8.0,0.025362318840579712,0.05615942028985507,0.059411818994972596,0.059411818994972596,0.75,FEMALE,1898
ronober,7,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.01095618227250527,0.01095618227250527,0.5714285714285714,MALE,1898
musarion,42,6.0,3.0,8.0,3.0,8.0,0.006038647342995169,0.044384057971014496,0.070552716200574,0.070552716200574,0.5714285714285714,MALE,1898
praktinski,102,9.0,5.0,27.0,4.0,11.0,0.07427536231884058,0.11322463768115942,0.19854256662351435,0.19854256662351435,0.43137254901960786,MALE,1898
dritter_offizier,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01095618227250527,0.01095618227250527,0.3333333333333333,MALE,1898
erster_offizier,3,2.0,1.0,1.0,1.0,1.0,0.0018115942028985507,0.0018115942028985507,0.020268951523777938,0.020268951523777938,0.3333333333333333,MALE,1898
elektra,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01095618227250527,0.01095618227250527,0.3333333333333333,FEMALE,1898
fuchs,14,5.0,3.0,3.0,2.0,2.0,0.03713768115942029,0.06159420289855073,0.05097839293386147,0.05097839293386147,0.2857142857142857,MALE,1898
schabholz,7,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.01095618227250527,0.01095618227250527,0.2857142857142857,MALE,1898
der_mueller,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01095618227250527,0.01095618227250527,0.25,MALE,1898
der_zweite_muellerbursche,6,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.014984009117228143,0.014984009117228143,0.16666666666666666,MALE,1898
magrona,7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01095618227250527,0.01095618227250527,0.14285714285714285,FEMALE,1898
sattilka,7,2.0,1.0,1.0,1.0,1.0,0.01992753623188406,0.01992753623188406,0.020268951523777938,0.020268951523777938,0.14285714285714285,FEMALE,1898
schalk,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017279753752423944,0.017279753752423944,0.0,MALE,1898
zweiter_offizier,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.028184971307104064,0.028184971307104064,0.0,MALE,1898
der_lebenstrieb,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017279753752423944,0.017279753752423944,0.0,UNKNOWN,1898
klettina,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01840715033932506,0.01840715033932506,0.0,FEMALE,1898
der_erste_muellerbursche,6,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.02706748965139676,0.02706748965139676,0.0,MALE,1898
dritte_dame,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.020268951523777938,0.020268951523777938,0.0,FEMALE,1898
waisenkinder,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017279753752423944,0.017279753752423944,0.0,UNKNOWN,1898
