,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
katharina,22,9.0,4.0,5.0,8.0,0.1494047619047619,0.20386904761904762,0.13124877943315752,0.13124877943315752,1.8181818181818183,FEMALE,1904
strick,20,10.0,5.0,5.0,6.0,0.3416666666666666,0.25148809523809523,0.2278104801195956,0.2278104801195956,1.5,MALE,1904
meta,17,7.0,3.0,4.0,6.0,0.07976190476190476,0.09375,0.1354047431671044,0.1354047431671044,1.411764705882353,FEMALE,1904
oberkellner,1,2.0,1.0,1.0,1.0,0.0,0.0,0.060838204621972855,0.060838204621972855,1.0,MALE,1904
max,11,6.0,3.0,3.0,3.0,0.04702380952380952,0.16071428571428573,0.1000530599433922,0.1000530599433922,0.8181818181818181,MALE,1904
finkenstein,5,3.0,1.0,2.0,2.0,0.013095238095238096,0.010416666666666666,0.0538349276639608,0.0538349276639608,0.8,MALE,1904
theophil,15,5.0,2.0,3.0,3.0,0.10119047619047618,0.14285714285714285,0.08918661088767302,0.08918661088767302,0.6000000000000001,MALE,1904
hannibal,19,3.0,2.0,1.0,2.0,0.0,0.0,0.07563818205435599,0.07563818205435599,0.10526315789473684,MALE,1904
schlammberger,9,3.0,3.0,0.0,0.0,0.0,0.0,0.12598501210878751,0.12598501210878751,0.0,MALE,1904
reitzer,2,,,,,,,,,,MALE,1904
