,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
ruebezahl,144,22.0,10.0,22.0,12.0,47.0,0.4475694444444444,0.4597222222222222,0.21686098898395179,0.21686098898395179,3.916666666666667,MALE,1904
rueffel,87,12.0,6.0,15.0,6.0,24.0,0.04965277777777777,0.08541666666666667,0.10727133253738476,0.10727133253738476,1.6551724137931034,MALE,1904
betty,21,5.0,1.0,2.0,4.0,6.0,0.0013888888888888887,0.03333333333333333,0.02168805749120941,0.02168805749120941,1.1428571428571428,FEMALE,1904
raxer,80,7.0,3.0,17.0,4.0,20.0,0.05,0.05,0.12225940303446119,0.12225940303446119,1.0,MALE,1904
erste_fee,3,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.011296218916783955,0.011296218916783955,0.6666666666666666,FEMALE,1904
quiwi,132,11.0,7.0,46.0,4.0,18.0,0.11493055555555556,0.10833333333333334,0.21926456062092,0.21926456062092,0.5454545454545454,FEMALE,1904
von_schmalz,44,8.0,4.0,7.0,4.0,6.0,0.005208333333333333,0.06111111111111111,0.055506616103856425,0.055506616103856425,0.5454545454545454,MALE,1904
zweiter_tourist,8,5.0,3.0,3.0,2.0,2.0,0.05625,0.10208333333333333,0.03795503336733446,0.03795503336733446,0.5,MALE,1904
der_alte_schornsteinfeger,11,3.0,1.0,3.0,2.0,2.0,0.0,0.0,0.02306197666217552,0.02306197666217552,0.36363636363636365,MALE,1904
die_feen,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011296218916783955,0.011296218916783955,0.3333333333333333,,1904
erster_tourist,13,3.0,1.0,5.0,2.0,2.0,0.0,0.0,0.030905815159103234,0.030905815159103234,0.3076923076923077,MALE,1904
paschke,30,6.0,4.0,7.0,2.0,2.0,0.004166666666666667,0.1611111111111111,0.0529424741006082,0.0529424741006082,0.13333333333333333,MALE,1904
dritter_tourist,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011296218916783955,0.011296218916783955,0.125,MALE,1904
der_junge_schornsteinfeger,12,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.028941487317277054,0.028941487317277054,0.08333333333333333,MALE,1904
ein_zwerg_3-3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01521813816524781,0.01521813816524781,0.0,MALE,1904
die_zwerge,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01521813816524781,0.01521813816524781,0.0,,1904
milchmann,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.019017321540870255,0.019017321540870255,0.0,MALE,1904
