,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
isabella,98,15.0,6.0,17.0,9.0,23.0,0.16287878787878787,0.28535353535353536,0.11756053718897547,0.11756053718897547,2.112244897959184,FEMALE,1803
beatrice,61,11.0,5.0,17.0,6.0,19.0,0.02398989898989899,0.0404040404040404,0.13522055275225442,0.13522055275225442,1.8688524590163935,FEMALE,1803
don_cesar,90,10.0,4.0,9.0,6.0,23.0,0.15656565656565655,0.1553030303030303,0.08898299572045086,0.08898299572045086,1.5333333333333332,MALE,1803
don_manuel,91,9.0,4.0,26.0,5.0,19.0,0.042929292929292935,0.0,0.14929157084384137,0.14929157084384137,1.043956043956044,MALE,1803
einer_aus_dem_chor_1-3,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.017985395364057803,0.017985395364057803,1.0,MALE,1803
ein_dritter_3-5,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.017985395364057803,0.017985395364057803,0.5,MALE,1803
chor,55,6.0,4.0,10.0,2.0,12.0,0.06818181818181818,0.20454545454545456,0.07196722170575955,0.07196722170575955,0.43636363636363634,,1803
diego,31,5.0,3.0,11.0,2.0,4.0,0.0,0.0,0.06305218767012509,0.06305218767012509,0.25806451612903225,MALE,1803
erster_chor,34,6.0,4.0,5.0,2.0,4.0,0.06818181818181818,0.12373737373737373,0.1325358855014942,0.1325358855014942,0.23529411764705882,,1803
zweiter_chor,27,3.0,2.0,4.0,1.0,1.0,0.0,0.0,0.10681817193912505,0.10681817193912505,0.037037037037037035,,1803
ein_zweiter_1-3,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0332729882554725,0.0332729882554725,0.0,MALE,1803
bote_1-6,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.021273952267054752,0.021273952267054752,0.0,MALE,1803
bote_4-2_und_4-3,6,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.044053145427331276,0.044053145427331276,0.0,MALE,1803
