,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig_karl,113,21.0,6.0,15.0,34.0,0.1582407407407407,0.20325396825396827,0.04590087052219689,0.04590087052219689,4.513274336283186,MALE,1801
isabeau,47,7.0,1.0,6.0,22.0,0.0031746031746031746,0.0031746031746031746,0.013715154301364097,0.013715154301364097,2.8085106382978724,FEMALE,1801
johanna,154,27.0,14.0,13.0,28.0,0.3502777777777777,0.28067460317460313,0.1705810399331668,0.1705810399331668,2.3636363636363638,FEMALE,1801
koehlerweib,4,3.0,1.0,2.0,3.0,0.0,0.0,0.019103762475414444,0.019103762475414444,1.5,FEMALE,1801
dunois,64,13.0,5.0,8.0,11.0,0.0566798941798942,0.17768518518518517,0.052203236754385554,0.052203236754385554,1.375,MALE,1801
agnes_sorel,36,6.0,1.0,5.0,8.0,0.025396825396825397,0.016666666666666666,0.02373709702096182,0.02373709702096182,1.1111111111111112,FEMALE,1801
burgund,56,9.0,5.0,4.0,15.0,0.061693121693121696,0.0838095238095238,0.047157926221285056,0.047157926221285056,1.0714285714285714,MALE,1801
raimond,37,8.0,5.0,3.0,13.0,0.11448412698412698,0.1126984126984127,0.04908422518196686,0.04908422518196686,1.0540540540540542,MALE,1801
koehler,9,6.0,3.0,3.0,3.0,0.05634920634920635,0.05634920634920635,0.038480573458716444,0.038480573458716444,1.0,MALE,1801
zweiter,1,1.0,0.0,1.0,1.0,0.0,0.0,0.008202341405537123,0.008202341405537123,1.0,MALE,1801
koehlerbub,1,2.0,1.0,1.0,1.0,0.0,0.0,0.019103762475414444,0.019103762475414444,1.0,MALE,1801
margot,18,7.0,3.0,4.0,4.0,0.04107142857142857,0.042261904761904764,0.05637760376103988,0.05637760376103988,0.8888888888888888,FEMALE,1801
thibaut,27,6.0,3.0,3.0,7.0,0.013346560846560846,0.1102777777777778,0.031076932775413534,0.031076932775413534,0.7777777777777777,MALE,1801
raoul,2,2.0,1.0,1.0,1.0,0.0,0.0,0.010724446820271991,0.010724446820271991,0.5,MALE,1801
bertrand,19,6.0,3.0,3.0,3.0,0.021825396825396824,0.02638888888888889,0.04185962137203017,0.04185962137203017,0.47368421052631576,MALE,1801
lionel,39,5.0,3.0,2.0,8.0,0.0,0.017857142857142856,0.03083780115522892,0.03083780115522892,0.41025641025641024,MALE,1801
schwarzer_ritter,6,2.0,1.0,1.0,2.0,0.0,0.0,0.02373709702096182,0.02373709702096182,0.3333333333333333,MALE,1801
la_hire,37,6.0,3.0,3.0,4.0,0.0003968253968253968,0.014748677248677247,0.03013021543421482,0.03013021543421482,0.32432432432432434,MALE,1801
erzbischof,16,5.0,3.0,2.0,2.0,0.0017063492063492062,0.03931216931216932,0.019709484579311508,0.019709484579311508,0.25,MALE,1801
soldat_5-11_und_5-12,20,3.0,1.0,2.0,2.0,0.0,0.0,0.012971433657754185,0.012971433657754185,0.2,MALE,1801
herold,6,3.0,2.0,1.0,1.0,0.0017063492063492062,0.006044973544973545,0.019706368932368865,0.019706368932368865,0.16666666666666666,MALE,1801
talbot,28,4.0,2.0,2.0,2.0,0.01746031746031746,0.01746031746031746,0.015136668117277631,0.015136668117277631,0.14285714285714285,MALE,1801
fastolf,10,2.0,1.0,1.0,1.0,0.0,0.06031746031746032,0.009349865188752398,0.009349865188752398,0.1,MALE,1801
louison,15,3.0,2.0,1.0,1.0,0.0,0.0,0.030538834283859916,0.030538834283859916,0.06666666666666667,FEMALE,1801
soldat_2-5,1,1.0,1.0,0.0,0.0,0.0,0.0,0.014635320945959648,0.014635320945959648,0.0,MALE,1801
montgomery,8,1.0,1.0,0.0,0.0,0.0,0.0,0.013380593277345355,0.013380593277345355,0.0,MALE,1801
chatillon,9,1.0,1.0,0.0,0.0,0.0,0.0,0.010497388971967676,0.010497388971967676,0.0,MALE,1801
edelknecht_3-2,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009349865188752398,0.009349865188752398,0.0,MALE,1801
dritter,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015174294808331303,0.015174294808331303,0.0,MALE,1801
viele_stimmen_hinter_der_szene,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009349865188752398,0.009349865188752398,0.0,,1801
ratsherr,6,2.0,2.0,0.0,0.0,0.0,0.0,0.013383708924287998,0.013383708924287998,0.0,MALE,1801
etienne,1,1.0,1.0,0.0,0.0,0.0,0.0,0.02006277112549917,0.02006277112549917,0.0,MALE,1801
edelknecht_1-2,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009349865188752398,0.009349865188752398,0.0,MALE,1801
du_chatel,20,4.0,4.0,0.0,0.0,0.0,0.0,0.027125527257788287,0.027125527257788287,0.0,MALE,1801
claude_marie,5,1.0,1.0,0.0,0.0,0.0,0.0,0.020182330540243452,0.020182330540243452,0.0,MALE,1801
hauptmann,1,1.0,1.0,0.0,0.0,0.0,0.0,0.008732240544672351,0.008732240544672351,0.0,MALE,1801
ritter_3-5,1,1.0,1.0,0.0,0.0,0.0,0.0,0.009349865188752398,0.009349865188752398,0.0,MALE,1801
edelknecht_1-10,1,,,,,,,,,,MALE,1801
alle_2-4,1,,,,,,,,,,,1801
schildwache,1,,,,,,,,,,MALE,1801
erster,1,,,,,,,,,,MALE,1801
vierter,1,,,,,,,,,,MALE,1801
alle_stimmen_volk_mehrere_stimmen,4,,,,,,,,,,,1801
soldaten,1,,,,,,,,,,,1801
anfuehrer_der_soldaten,1,,,,,,,,,,MALE,1801
edelmann,1,,,,,,,,,,MALE,1801
