,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
wallenstein,71,9.0,3.0,6.0,30.0,0.055050505050505044,0.05411255411255411,0.034576075239088136,0.034576075239088136,2.535211267605634,MALE,1799
terzky,59,12.0,4.0,8.0,15.0,0.2098124098124098,0.21861471861471862,0.042380689517299994,0.042380689517299994,2.0338983050847457,MALE,1799
illo,69,10.0,3.0,7.0,16.0,0.03326118326118326,0.048701298701298704,0.03568058239435479,0.03568058239435479,1.6231884057971016,MALE,1799
zweiter_bedienter_2-1,5,2.0,0.0,2.0,4.0,0.0,0.0,0.01171078991189769,0.01171078991189769,1.6,MALE,1799
max,106,13.0,7.0,6.0,27.0,0.16565656565656564,0.10497835497835498,0.11322911967795775,0.11322911967795775,1.5283018867924527,MALE,1799
octavio,100,9.0,5.0,4.0,28.0,0.10288600288600289,0.08658008658008658,0.137493062033233,0.137493062033233,1.12,MALE,1799
isolani,34,8.0,3.0,5.0,6.0,0.044805194805194806,0.1699134199134199,0.036026763672338175,0.036026763672338175,0.8823529411764707,MALE,1799
kellermeister,15,4.0,1.0,3.0,4.0,0.08441558441558442,0.08441558441558442,0.028932697747828275,0.028932697747828275,0.8,MALE,1799
graefin,51,5.0,3.0,2.0,16.0,0.0025974025974025974,0.0,0.11502639032211796,0.11502639032211796,0.6274509803921569,FEMALE,1799
thekla,44,5.0,3.0,2.0,7.0,0.004545454545454545,0.004329004329004329,0.1189483490375207,0.1189483490375207,0.3181818181818182,FEMALE,1799
questenberg,59,6.0,4.0,2.0,9.0,0.014285714285714285,0.08008658008658008,0.0330020491094305,0.0330020491094305,0.3050847457627119,MALE,1799
buttler,29,7.0,5.0,2.0,4.0,0.028354978354978355,0.13095238095238096,0.03140126926593369,0.03140126926593369,0.27586206896551724,MALE,1799
zweiter_bedienter_4-5,4,2.0,1.0,1.0,1.0,0.030303030303030304,0.030303030303030304,0.02400740851643582,0.02400740851643582,0.25,MALE,1799
herzogin,17,3.0,1.0,2.0,2.0,0.0010822510822510823,0.0,0.02346696210121636,0.02346696210121636,0.23529411764705882,FEMALE,1799
neumann,9,3.0,2.0,1.0,2.0,0.1038961038961039,0.1038961038961039,0.020260719290091593,0.020260719290091593,0.2222222222222222,MALE,1799
kornett,13,2.0,1.0,1.0,1.0,0.0,0.0,0.05344955401119551,0.05344955401119551,0.07692307692307693,MALE,1799
seni,4,1.0,1.0,0.0,0.0,0.0,0.0,0.01917648101857887,0.01917648101857887,0.0,MALE,1799
erster_bedienter_2-1,3,1.0,1.0,0.0,0.0,0.0,0.0,0.014199353614124749,0.014199353614124749,0.0,MALE,1799
goetz,9,1.0,1.0,0.0,0.0,0.0,0.0,0.013606370966795317,0.013606370966795317,0.0,MALE,1799
tiefenbach,9,2.0,2.0,0.0,0.0,0.0,0.0,0.01921633498021954,0.01921633498021954,0.0,MALE,1799
erster_bedienter_4-5,4,1.0,1.0,0.0,0.0,0.0,0.0,0.017859099214166754,0.017859099214166754,0.0,MALE,1799
dritter_bedienter_4-5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.03211745921648748,0.03211745921648748,0.0,MALE,1799
kammerdiener_5,3,1.0,1.0,0.0,0.0,0.0,0.0,0.024232419141687035,0.024232419141687035,0.0,MALE,1799
dritter_bedienter_2-1,2,,,,,,,,,,MALE,1799
kammerdiener_2-6,1,,,,,,,,,,MALE,1799
colalto,2,,,,,,,,,,MALE,1799
bedienter_3-2,1,,,,,,,,,,MALE,1799
vierter_bedienter_4-5,1,,,,,,,,,,MALE,1799
