,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
karl_von_moor,210,29.0,14.0,15.0,86.0,0.3871933621933622,0.32189754689754696,0.15310926857809273,0.15310926857809273,6.142857142857142,MALE,1781
franz_von_moor,172,17.0,8.0,9.0,65.0,0.19523809523809524,0.2822871572871573,0.13958294885698938,0.13958294885698938,3.4011627906976747,MALE,1781
schweizer,68,19.0,9.0,10.0,22.0,0.18210678210678208,0.31807359307359306,0.05577735382541256,0.05577735382541256,3.235294117647059,MALE,1781
roller,30,9.0,4.0,5.0,12.0,0.0038600288600288595,0.023051948051948053,0.04672915388364712,0.04672915388364712,2.0,MALE,1781
schwarz,31,12.0,6.0,6.0,9.0,0.032900432900432895,0.13870851370851373,0.05322038151625144,0.05322038151625144,1.741935483870968,MALE,1781
amalia,111,7.0,3.0,4.0,38.0,0.0,0.0,0.06718505832192516,0.06718505832192516,1.3693693693693694,FEMALE,1781
der_alte_moor,100,8.0,4.0,4.0,34.0,0.008658008658008658,0.0021645021645021645,0.07257252927924639,0.07257252927924639,1.36,MALE,1781
grimm,29,9.0,5.0,4.0,9.0,0.00854978354978355,0.07799422799422799,0.040946923266415,0.040946923266415,1.2413793103448276,MALE,1781
spiegelberg,60,9.0,5.0,4.0,18.0,0.024242424242424242,0.0367965367965368,0.056959104593597334,0.056959104593597334,1.2,MALE,1781
ein_alter_raeuber,1,1.0,0.0,1.0,1.0,0.0,0.0,0.007789314039718714,0.007789314039718714,1.0,MALE,1781
volk,1,2.0,1.0,1.0,1.0,0.0025974025974025974,0.021645021645021644,0.010700600868176069,0.010700600868176069,1.0,,1781
die_raeuber,20,3.0,1.0,2.0,8.0,0.0,0.0,0.01686902871406172,0.01686902871406172,0.8,,1781
pater,13,3.0,1.0,2.0,5.0,0.0,0.0,0.021408886051233224,0.021408886051233224,0.7692307692307693,MALE,1781
daniel,67,5.0,2.0,3.0,17.0,0.0367965367965368,0.0367965367965368,0.05822556995838561,0.05822556995838561,0.7611940298507462,MALE,1781
kosinsky,26,6.0,3.0,3.0,6.0,0.0,0.0,0.03354237452234858,0.03354237452234858,0.6923076923076923,MALE,1781
schufterle,8,5.0,3.0,2.0,2.0,0.0,0.10692640692640693,0.014767733901355037,0.014767733901355037,0.5,MALE,1781
razmann,38,5.0,3.0,2.0,7.0,0.000974025974025974,0.0010822510822510823,0.03810959493798456,0.03810959493798456,0.3684210526315789,MALE,1781
bedienter_5-1a,4,2.0,1.0,1.0,1.0,0.0,0.0,0.015090260646615773,0.015090260646615773,0.25,MALE,1781
hermann,52,6.0,4.0,2.0,5.0,0.0,0.0367965367965368,0.042548938973243466,0.042548938973243466,0.19230769230769232,MALE,1781
moser,17,2.0,1.0,1.0,2.0,0.0,0.0,0.020565970601788566,0.020565970601788566,0.11764705882352941,MALE,1781
ein_zweiter,1,1.0,1.0,0.0,0.0,0.0,0.0,0.00994438389221354,0.00994438389221354,0.0,MALE,1781
einer_von_der_bande,1,1.0,1.0,0.0,0.0,0.0,0.0,0.00994438389221354,0.00994438389221354,0.0,MALE,1781
ein_dritter_raeuber,1,1.0,1.0,0.0,0.0,0.0,0.0,0.014410236879084238,0.014410236879084238,0.0,MALE,1781
ein_dritter,1,,,,,,,,,,MALE,1781
bedienter_5-1b,1,,,,,,,,,,MALE,1781
ein_raeuber,1,,,,,,,,,,MALE,1781
