,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
fiesco,326,32.0,15.0,66.0,17.0,98.0,0.4491666666666667,0.44611111111111107,0.20919935668694015,0.20919935668694015,5.11042944785276,MALE,1782
wachen_am_hoftor,12,9.0,2.0,3.0,7.0,7.0,0.03388888888888889,0.13444444444444445,0.016455871901384384,0.016455871901384384,4.083333333333334,,1782
bourgognino,76,10.0,4.0,16.0,6.0,23.0,0.05694444444444444,0.1322222222222222,0.05200947052818591,0.05200947052818591,1.8157894736842106,MALE,1782
verrina,112,12.0,6.0,29.0,6.0,32.0,0.06930555555555556,0.058333333333333334,0.08602730243796607,0.08602730243796607,1.7142857142857142,MALE,1782
calcagno,62,13.0,7.0,11.0,6.0,15.0,0.060833333333333336,0.11805555555555558,0.03867762105941377,0.03867762105941377,1.4516129032258065,MALE,1782
julia,52,8.0,3.0,14.0,5.0,14.0,0.00972222222222222,0.006666666666666667,0.04530032497633851,0.04530032497633851,1.346153846153846,FEMALE,1782
zenturione,51,13.0,7.0,15.0,6.0,11.0,0.11388888888888891,0.13638888888888892,0.04305718751743126,0.04305718751743126,1.2941176470588236,MALE,1782
gianettino,88,13.0,7.0,15.0,6.0,17.0,0.1211111111111111,0.2577777777777778,0.07227489200424361,0.07227489200424361,1.1590909090909092,MALE,1782
leonore,78,12.0,6.0,14.0,6.0,15.0,0.06902777777777779,0.07500000000000001,0.060748612584879284,0.060748612584879284,1.153846153846154,FEMALE,1782
rosa,9,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.014871957598587966,0.014871957598587966,0.4444444444444444,FEMALE,1782
sacco,27,5.0,2.0,5.0,3.0,4.0,0.0,0.0,0.018191339268011673,0.018191339268011673,0.4444444444444444,MALE,1782
zibo,42,5.0,3.0,8.0,2.0,8.0,0.0,0.0,0.02571223347903152,0.02571223347903152,0.38095238095238093,MALE,1782
lomellin,49,4.0,2.0,9.0,2.0,9.0,0.005833333333333334,0.0033333333333333335,0.03882018073048271,0.03882018073048271,0.3673469387755102,MALE,1782
mohr,112,4.0,2.0,36.0,2.0,19.0,0.0,0.0,0.07690918563182146,0.07690918563182146,0.3392857142857143,MALE,1782
teutscher_3-11,3,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.015214811709106543,0.015214811709106543,0.3333333333333333,MALE,1782
arabella,24,6.0,4.0,10.0,2.0,3.0,0.011666666666666665,0.03361111111111111,0.03483002874969686,0.03483002874969686,0.25,FEMALE,1782
asserato,15,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.009985236200056091,0.009985236200056091,0.2,MALE,1782
verschworene,5,2.0,1.0,1.0,1.0,1.0,0.0,0.05277777777777778,0.010272063254362748,0.010272063254362748,0.2,,1782
berta,32,4.0,2.0,17.0,2.0,3.0,0.0,0.0,0.044654589245332846,0.044654589245332846,0.1875,FEMALE,1782
andreas,25,4.0,2.0,4.0,2.0,2.0,0.011944444444444445,0.04,0.018948578926267126,0.018948578926267126,0.16,MALE,1782
zwoelf_handwerker,10,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.011616117079358643,0.011616117079358643,0.0,,1782
romano,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00980157666986703,0.00980157666986703,0.0,MALE,1782
linke_wache,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01131418387613409,0.01131418387613409,0.0,MALE,1782
rechte_wache,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01131418387613409,0.01131418387613409,0.0,MALE,1782
teutscher_4-8,3,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.013614317019039323,0.013614317019039323,0.0,MALE,1782
teutsche,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010178776989926423,0.010178776989926423,0.0,,1782
