,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig_philipp,223,24.0,9.0,15.0,95.0,0.24470521541950116,0.20476190476190478,0.10903947340276167,0.10903947340276167,6.390134529147982,MALE,1787
carlos,333,18.0,8.0,10.0,134.0,0.14335222978080123,0.09761904761904763,0.1696819575681072,0.1696819575681072,4.0240240240240235,MALE,1787
koenigin,192,18.0,9.0,9.0,84.0,0.18720710506424798,0.23134920634920636,0.08914245487754135,0.08914245487754135,3.9375,FEMALE,1787
parma,7,5.0,1.0,4.0,6.0,0.0035714285714285718,0.14603174603174604,0.011686800420653874,0.011686800420653874,3.4285714285714284,MALE,1787
domingo,90,17.0,9.0,8.0,32.0,0.043206727135298564,0.08849206349206351,0.07801354885226003,0.07801354885226003,2.8444444444444446,MALE,1787
alba,131,19.0,10.0,9.0,37.0,0.17364323507180654,0.3972222222222222,0.11107549454015914,0.11107549454015914,2.5419847328244276,MALE,1787
prinzessin_von_eboli,122,12.0,6.0,6.0,50.0,0.03468442932728648,0.13214285714285715,0.07723729354601307,0.07723729354601307,2.459016393442623,FEMALE,1787
marquis,241,9.0,4.0,5.0,62.0,0.005714285714285716,0.0,0.11174360359797071,0.11174360359797071,1.2863070539419086,MALE,1787
medina_sidonia,7,5.0,2.0,3.0,3.0,0.004391534391534392,0.16071428571428573,0.011766235252269504,0.011766235252269504,1.2857142857142856,MALE,1787
fuentes,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00913502678608269,0.00913502678608269,1.0,FEMALE,1787
lerma,72,8.0,4.0,4.0,10.0,0.0,0.07738095238095238,0.04956434756200034,0.04956434756200034,0.5555555555555556,MALE,1787
grossinquisitor,27,2.0,1.0,1.0,12.0,0.0,0.0,0.01791537251267381,0.01791537251267381,0.4444444444444444,MALE,1787
mondekar,5,3.0,2.0,1.0,2.0,0.0,0.004761904761904762,0.011012663228485266,0.011012663228485266,0.4,FEMALE,1787
feria,25,5.0,4.0,1.0,8.0,0.0,0.0,0.01902143044848592,0.01902143044848592,0.32,MALE,1787
page,22,4.0,2.0,2.0,3.0,0.0,0.0035714285714285718,0.0274103521062081,0.0274103521062081,0.2727272727272727,MALE,1787
taxis,11,3.0,2.0,1.0,2.0,0.0,0.0,0.02031771529398866,0.02031771529398866,0.18181818181818182,MALE,1787
olivarez,14,3.0,2.0,1.0,1.0,0.0,0.0,0.0162713479123547,0.0162713479123547,0.07142857142857142,FEMALE,1787
infantin,3,2.0,2.0,0.0,0.0,0.0,0.0,0.011012663228485266,0.011012663228485266,0.0,FEMALE,1787
die_granden,3,1.0,1.0,0.0,0.0,0.0,0.0,0.010110620755703924,0.010110620755703924,0.0,,1787
merkado,6,1.0,1.0,0.0,0.0,0.0,0.0,0.012363944730823456,0.012363944730823456,0.0,MALE,1787
offizier_5-9,4,1.0,1.0,0.0,0.0,0.0,0.0,0.01303740266456763,0.01303740266456763,0.0,MALE,1787
prior,7,1.0,1.0,0.0,0.0,0.0,0.0,0.01344025071240371,0.01344025071240371,0.0,MALE,1787
erster_grande,2,,,,,,,,,,MALE,1787
ein_zweiter,1,,,,,,,,,,MALE,1787
ein_dritter,1,,,,,,,,,,MALE,1787
offizier_5-5,1,,,,,,,,,,MALE,1787
