,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
elisabeth,135,17.0,7.0,20.0,10.0,44.0,0.26753968253968263,0.2833333333333334,0.07628068521650566,0.07628068521650566,3.2592592592592595,FEMALE,1800
melvil,43,7.0,3.0,5.0,4.0,20.0,0.19619047619047622,0.18571428571428572,0.05092612810313183,0.05092612810313183,1.8604651162790697,MALE,1800
maria,162,14.0,7.0,27.0,7.0,41.0,0.3285714285714286,0.28571428571428575,0.12528398445013444,0.12528398445013444,1.771604938271605,FEMALE,1800
davison,33,7.0,3.0,10.0,4.0,13.0,0.06095238095238097,0.04285714285714286,0.03921631389058074,0.03921631389058074,1.5757575757575757,MALE,1800
leicester,105,8.0,4.0,22.0,4.0,24.0,0.033253968253968265,0.05476190476190477,0.09670168967764203,0.09670168967764203,0.9142857142857143,MALE,1800
burleigh,108,11.0,6.0,26.0,5.0,17.0,0.08103174603174604,0.06666666666666668,0.07902569220420955,0.07902569220420955,0.7870370370370371,MALE,1800
shrewsbury,32,6.0,2.0,5.0,4.0,6.0,0.0,0.14047619047619048,0.018640771508607483,0.018640771508607483,0.75,MALE,1800
mortimer,137,10.0,5.0,39.0,5.0,20.0,0.15626984126984125,0.13333333333333336,0.1893477315975617,0.1893477315975617,0.7299270072992701,MALE,1800
kennedy,54,8.0,4.0,11.0,4.0,8.0,0.0800793650793651,0.29761904761904767,0.05994293851541917,0.05994293851541917,0.5925925925925926,FEMALE,1800
kent,11,4.0,2.0,5.0,2.0,2.0,0.06190476190476191,0.15952380952380954,0.019698091824558485,0.019698091824558485,0.36363636363636365,MALE,1800
paulet,76,10.0,7.0,24.0,3.0,7.0,0.04777777777777779,0.2023809523809524,0.11783244546119648,0.11783244546119648,0.2763157894736842,MALE,1800
burgoyn,4,2.0,1.0,1.0,1.0,1.0,0.0,0.002380952380952381,0.012313387643659341,0.012313387643659341,0.25,MALE,1800
aubespine,19,3.0,1.0,1.0,2.0,2.0,0.015000000000000003,0.07380952380952381,0.018520729244622933,0.018520729244622933,0.21052631578947367,MALE,1800
okelly,10,2.0,1.0,5.0,1.0,2.0,0.0,0.0,0.05038642879785588,0.05038642879785588,0.2,MALE,1800
kurl,10,4.0,3.0,4.0,1.0,1.0,0.06666666666666668,0.06666666666666668,0.031313151394654404,0.031313151394654404,0.1,FEMALE,1800
page,5,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.014569830469659937,0.014569830469659937,0.0,MALE,1800
