,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
wachtmeister,53,16.0,8.0,11.0,8.0,16.0,0.27069444444444446,0.25277777777777777,0.1837924201132808,0.1837924201132808,2.4150943396226414,MALE,1798
trompeter,32,12.0,5.0,5.0,7.0,9.0,0.1515277777777778,0.2715277777777778,0.08818655898291552,0.08818655898291552,1.96875,MALE,1798
erster_kuerassier,24,9.0,3.0,4.0,6.0,7.0,0.1173611111111111,0.12916666666666668,0.07040006942178595,0.07040006942178595,1.75,MALE,1798
konstabler,3,3.0,1.0,2.0,2.0,2.0,0.0,0.00625,0.0356368701987097,0.0356368701987097,1.3333333333333333,MALE,1798
ulan,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0161085496313059,0.0161085496313059,1.0,MALE,1798
soldatenjunge,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0161085496313059,0.0161085496313059,1.0,MALE,1798
erster_jaeger,58,8.0,4.0,8.0,4.0,10.0,0.13,0.12222222222222222,0.11453829881674313,0.11453829881674313,0.6896551724137931,MALE,1798
erster_arkebusier,16,6.0,3.0,6.0,3.0,3.0,0.020555555555555556,0.004166666666666667,0.07060743605759097,0.07060743605759097,0.5625,MALE,1798
marketenderin,21,7.0,4.0,7.0,3.0,3.0,0.04513888888888888,0.04270833333333333,0.0931775941494603,0.0931775941494603,0.42857142857142855,FEMALE,1798
zweiter_jaeger,23,7.0,4.0,5.0,3.0,3.0,0.03625,0.10000000000000002,0.06222176369172494,0.06222176369172494,0.3913043478260869,MALE,1798
kapuziner,6,2.0,1.0,1.0,1.0,1.0,0.0020833333333333333,0.027083333333333334,0.024437405286352878,0.024437405286352878,0.16666666666666666,MALE,1798
erster_scharfschuetz,8,2.0,1.0,2.0,1.0,1.0,0.05,0.05,0.033205938161476725,0.033205938161476725,0.125,MALE,1798
erster_dragoner,10,3.0,2.0,2.0,1.0,1.0,0.005555555555555555,0.004166666666666667,0.04587732242583429,0.04587732242583429,0.1,MALE,1798
zweiter_kuerassier,5,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.05105745080136165,0.05105745080136165,0.0,MALE,1798
bauer,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.024437405286352878,0.024437405286352878,0.0,MALE,1798
kroat,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04433365742879061,0.04433365742879061,0.0,MALE,1798
zweiter_arkebusier,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0258727099150078,0.0258727099150078,0.0,MALE,1798
