,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
wallenstein,262,27.0,11.0,16.0,104.0,0.35081739248405913,0.3575498575498576,0.14579128653891796,0.14579128653891796,6.351145038167939,MALE,1799
graefin,124,17.0,6.0,11.0,33.0,0.13927893094559762,0.21937321937321938,0.06108742302188938,0.06108742302188938,2.9274193548387095,FEMALE,1799
octavio,78,10.0,4.0,6.0,30.0,0.0998338081671415,0.09401709401709402,0.06340504492094448,0.06340504492094448,2.307692307692308,MALE,1799
thekla,90,12.0,6.0,6.0,24.0,0.12260887260887261,0.1633428300094967,0.05320625028637062,0.05320625028637062,1.6,FEMALE,1799
max,43,7.0,2.0,5.0,11.0,0.02543752543752544,0.10446343779677116,0.015361463863363286,0.015361463863363286,1.2790697674418605,MALE,1799
buttler,162,12.0,6.0,6.0,32.0,0.20779066612399943,0.14007597340930675,0.1534022714162921,0.1534022714162921,1.1851851851851851,MALE,1799
terzky,75,7.0,3.0,4.0,20.0,0.006766381766381766,0.02421652421652422,0.0615912567880724,0.0615912567880724,1.0666666666666667,MALE,1799
herzogin,46,7.0,4.0,3.0,14.0,0.004748338081671415,0.03869895536562203,0.024347175797355087,0.024347175797355087,0.9130434782608696,FEMALE,1799
deveroux,40,5.0,3.0,2.0,16.0,0.03739316239316239,0.07264957264957266,0.045928369311860485,0.045928369311860485,0.8,MALE,1799
illo,67,7.0,4.0,3.0,12.0,0.0029507529507529504,0.009021842355175688,0.039726253136995356,0.039726253136995356,0.5373134328358209,MALE,1799
gordon,79,7.0,4.0,3.0,14.0,0.044040835707502377,0.1388888888888889,0.07648748838792671,0.07648748838792671,0.5316455696202531,MALE,1799
neubrunn,28,4.0,3.0,1.0,13.0,0.002136752136752137,0.0,0.019471788053986236,0.019471788053986236,0.4642857142857143,MALE,1799
macdonald,32,4.0,2.0,2.0,6.0,0.0,0.0925925925925926,0.0224561303033633,0.0224561303033633,0.375,MALE,1799
gefreiter,14,2.0,1.0,1.0,4.0,0.0,0.0,0.013387807671275401,0.013387807671275401,0.2857142857142857,MALE,1799
isolani,20,2.0,1.0,1.0,5.0,0.0,0.0,0.02119746612326598,0.02119746612326598,0.25,MALE,1799
kammerdiener,6,3.0,2.0,1.0,1.0,0.008903133903133903,0.05555555555555556,0.011386475962810571,0.011386475962810571,0.16666666666666666,MALE,1799
stallmeister,6,2.0,1.0,1.0,1.0,0.0,0.0,0.016159099121902255,0.016159099121902255,0.16666666666666666,MALE,1799
buergermeister,7,2.0,1.0,1.0,1.0,0.0,0.10897435897435898,0.012196220382223507,0.012196220382223507,0.14285714285714285,MALE,1799
wrangel,26,2.0,1.0,1.0,3.0,0.0,0.0,0.01934574411653487,0.01934574411653487,0.11538461538461539,MALE,1799
seni,11,3.0,2.0,1.0,1.0,0.027065527065527065,0.027065527065527065,0.016534667988657107,0.016534667988657107,0.09090909090909091,MALE,1799
page_5-10,1,1.0,1.0,0.0,0.0,0.0,0.0,0.010194888673758678,0.010194888673758678,0.0,MALE,1799
geraldin,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012695980923524506,0.012695980923524506,0.0,MALE,1799
page_3-6,1,1.0,1.0,0.0,0.0,0.0,0.0,0.010194888673758678,0.010194888673758678,0.0,MALE,1799
hauptmann,13,1.0,1.0,0.0,0.0,0.0,0.0,0.01992791942531947,0.01992791942531947,0.0,MALE,1799
neumann,1,1.0,1.0,0.0,0.0,0.0,0.0,0.00981304580411972,0.00981304580411972,0.0,MALE,1799
dritter_kuerassier,3,1.0,1.0,0.0,0.0,0.0,0.0,0.00981304580411972,0.00981304580411972,0.0,MALE,1799
adjutant,2,1.0,1.0,0.0,0.0,0.0,0.0,0.012214603545981584,0.012214603545981584,0.0,MALE,1799
kammerfrau,1,1.0,1.0,0.0,0.0,0.0,0.0,0.022675943955410657,0.022675943955410657,0.0,FEMALE,1799
bedienter_2-6,1,,,,,,,,,,MALE,1799
zweiter_kuerassier,1,,,,,,,,,,MALE,1799
erster_bedienter,1,,,,,,,,,,MALE,1799
zweiter_bedienter,1,,,,,,,,,,MALE,1799
hinter_der_szene,1,,,,,,,,,,UNKNOWN,1799
