,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
hanswurst,59,15.0,7.0,8.0,15.0,0.4642857142857143,0.4560439560439561,0.21670521573617094,0.21670521573617094,2.0338983050847457,MALE,1778
der_erste_tuerke,2,3.0,1.0,2.0,2.0,0.06593406593406594,0.06593406593406594,0.041089783791077236,0.041089783791077236,2.0,MALE,1778
stoffel_knips,15,6.0,3.0,3.0,7.0,0.0,0.0,0.04450371313456936,0.04450371313456936,1.4,MALE,1778
zweiter_matrose,3,3.0,1.0,2.0,2.0,0.16483516483516486,0.16483516483516486,0.06432843422271517,0.06432843422271517,1.3333333333333333,MALE,1778
der_zweite_tuerke,1,2.0,1.0,1.0,1.0,0.0,0.0,0.031650259353942084,0.031650259353942084,1.0,MALE,1778
der_knabe,1,1.0,0.0,1.0,1.0,0.0,0.0,0.014187093888057455,0.014187093888057455,1.0,MALE,1778
der_sultan,19,5.0,2.0,3.0,6.0,0.0,0.0027472527472527475,0.06745827572247631,0.06745827572247631,0.9473684210526315,MALE,1778
die_dame,20,5.0,2.0,3.0,5.0,0.1043956043956044,0.1043956043956044,0.12326969563985415,0.12326969563985415,0.75,FEMALE,1778
frau_knips,30,8.0,5.0,3.0,7.0,0.057692307692307696,0.08241758241758243,0.10403405347317468,0.10403405347317468,0.7,FEMALE,1778
erster_matrose,3,3.0,2.0,1.0,2.0,0.1208791208791209,0.1208791208791209,0.05899015546961468,0.05899015546961468,0.6666666666666666,MALE,1778
das_maedel,21,6.0,3.0,3.0,4.0,0.005494505494505495,0.14285714285714288,0.07732653257978656,0.07732653257978656,0.5714285714285714,FEMALE,1778
der_arzt,5,2.0,1.0,1.0,1.0,0.0,0.0,0.026466901803674434,0.026466901803674434,0.2,MALE,1778
alt_muetterchen,10,2.0,1.0,1.0,1.0,0.0,0.0,0.056099752347711154,0.056099752347711154,0.1,FEMALE,1778
der_matrose,1,1.0,1.0,0.0,0.0,0.0,0.0,0.026466901803674434,0.026466901803674434,0.0,MALE,1778
der_schwarzrok,5,2.0,2.0,0.0,0.0,0.0,0.0,0.04742323103350128,0.04742323103350128,0.0,MALE,1778
der_sklav,1,,,,,,,,,,MALE,1778
der_soufleur,0,,,,,,,,,,MALE,1778
