,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_koenig,17,6.0,3.0,3.0,9.0,0.2857142857142857,0.3214285714285714,0.3070769246858823,0.3070769246858823,1.5882352941176472,MALE,1802
ricardo,3,2.0,0.0,2.0,2.0,0.0,0.0,0.023623037904712155,0.023623037904712155,1.3333333333333333,MALE,1802
alarcos,13,5.0,3.0,2.0,5.0,0.3214285714285714,0.3214285714285714,0.2072842396238358,0.2072842396238358,0.7692307692307693,MALE,1802
solisa,17,4.0,2.0,2.0,5.0,0.08928571428571427,0.08928571428571427,0.13070740113170454,0.13070740113170454,0.5882352941176471,FEMALE,1802
octavio,2,2.0,1.0,1.0,1.0,0.0,0.0,0.033662771726592024,0.033662771726592024,0.5,MALE,1802
laura,4,1.0,0.0,1.0,1.0,0.0,0.0,0.023623037904712155,0.023623037904712155,0.25,FEMALE,1802
clara,4,2.0,1.0,1.0,1.0,0.125,0.125,0.05886155939072645,0.05886155939072645,0.25,FEMALE,1802
alvaro,11,3.0,2.0,1.0,1.0,0.0,0.0,0.1415061809577102,0.1415061809577102,0.09090909090909091,MALE,1802
eine_waerterin,1,1.0,1.0,0.0,0.0,0.0,0.0,0.07365484667412439,0.07365484667412439,0.0,FEMALE,1802
dagobert,2,,,,,,,,,,MALE,1802
cornelia,1,,,,,,,,,,FEMALE,1802
