,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
carnero,23,8.0,4.0,5.0,4.0,6.0,0.2636363636363636,0.3166666666666666,0.13492885358240114,0.13492885358240114,1.0434782608695652,MALE,1885
saffi,56,6.0,2.0,5.0,4.0,12.0,0.15,0.12727272727272726,0.22407692127828205,0.22407692127828205,0.8571428571428571,FEMALE,1885
zsupan,28,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.02114355873624679,0.02114355873624679,0.42857142857142855,MALE,1885
czipra,28,5.0,3.0,4.0,2.0,3.0,0.09999999999999999,0.203030303030303,0.08997476949963375,0.08997476949963375,0.21428571428571427,MALE,1885
ottokar,17,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.02114355873624679,0.02114355873624679,0.17647058823529413,MALE,1885
barinkay,86,6.0,4.0,14.0,2.0,5.0,0.10909090909090909,0.05454545454545454,0.26094371235371716,0.26094371235371716,0.11627906976744186,MALE,1885
zsupans_gruppe,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.02114355873624679,0.02114355873624679,0.1,,1885
chor,16,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.02114355873624679,0.02114355873624679,0.0625,,1885
arsena,40,3.0,2.0,4.0,1.0,1.0,0.07727272727272727,0.10909090909090909,0.08347583773516522,0.08347583773516522,0.025,FEMALE,1885
mirabella,15,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.04475156061195407,0.04475156061195407,0.0,FEMALE,1885
chor_der_zigeuner,13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04025851509268147,0.04025851509268147,0.0,,1885
graf_homonay,8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03701559490117773,0.03701559490117773,0.0,MALE,1885
