,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
anatol,725,18,9,234,9,143,0.7055555555555556,0.7111111111111111,0.42220998423230244,0.42220998423230244,1.7751724137931035,MALE,1893
max,411,10,5,88,5,119,0.14444444444444446,0.4777777777777778,0.20015222106703323,0.20015222106703323,1.4476885644768855,MALE,1893
ilona,124,5,2,19,3,50,0.005555555555555556,0.03333333333333333,0.05727209895723573,0.05727209895723573,1.2096774193548385,FEMALE,1893
bianca,37,3,1,4,2,16,0.0,0.15555555555555556,0.02070707204097383,0.02070707204097383,0.8648648648648649,FEMALE,1893
gabriele,97,4,2,12,2,41,0.0,0.0,0.04349661318386603,0.04349661318386603,0.845360824742268,FEMALE,1893
cora,34,3,1,5,2,9,0.0,0.35555555555555557,0.02753684214704315,0.02753684214704315,0.5294117647058824,FEMALE,1893
else,49,2,1,19,1,19,0.0,0.0,0.06267222393057817,0.06267222393057817,0.3877551020408163,FEMALE,1893
emilie,38,3,2,15,1,13,0.0,0.0,0.05155351842632826,0.05155351842632826,0.34210526315789475,FEMALE,1893
annie,91,4,2,25,2,13,0.0,0.0,0.07341014471627637,0.07341014471627637,0.2857142857142857,FEMALE,1893
franz,13,3,2,4,1,3,0.0,0.1,0.02349111966090099,0.02349111966090099,0.23076923076923078,MALE,1893
kellner,3,1,1,1,0,0,0.0,0.0,0.017498161637461714,0.017498161637461714,0.0,MALE,1893
