,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
friedrich,418,26.0,12.0,91.0,14.0,121.0,0.3177777777777778,0.2566666666666667,0.15884567203876462,0.15884567203876462,4.052631578947368,MALE,1910
frau_wahl,106,16.0,6.0,24.0,10.0,33.0,0.07571428571428572,0.17460317460317462,0.042667604543151626,0.042667604543151626,3.1132075471698113,FEMALE,1910
genia,304,20.0,9.0,73.0,11.0,83.0,0.1309920634920635,0.17686507936507936,0.11394395360686403,0.11394395360686403,3.0032894736842106,FEMALE,1910
rhon,55,11.0,4.0,14.0,7.0,23.0,0.10202380952380952,0.11384920634920635,0.041504665774877804,0.041504665774877804,2.9272727272727272,MALE,1910
adele,27,8.0,3.0,6.0,5.0,7.0,0.006150793650793651,0.1011904761904762,0.016138462746688627,0.016138462746688627,1.2962962962962963,FEMALE,1910
erna,149,12.0,6.0,34.0,6.0,31.0,0.009960317460317461,0.08277777777777778,0.050978352900274575,0.050978352900274575,1.2483221476510067,FEMALE,1910
herr,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0074683799642759514,0.0074683799642759514,1.0,MALE,1910
aigner,66,9.0,4.0,14.0,5.0,12.0,0.07861111111111112,0.11805555555555557,0.026773784401940916,0.026773784401940916,0.9090909090909092,MALE,1910
frau_rhon,9,4.0,2.0,2.0,2.0,4.0,0.0,0.002380952380952381,0.015974523282193922,0.015974523282193922,0.8888888888888888,FEMALE,1910
mauer,165,9.0,5.0,49.0,4.0,33.0,0.002777777777777778,0.002380952380952381,0.06700781427246821,0.06700781427246821,0.8,MALE,1910
otto,60,7.0,4.0,16.0,3.0,12.0,0.0,0.04182539682539683,0.026063902567627577,0.026063902567627577,0.6000000000000001,MALE,1910
frau_meinhold,50,5.0,2.0,12.0,3.0,10.0,0.0,0.02380952380952381,0.021369064343707923,0.021369064343707923,0.6000000000000001,FEMALE,1910
erster_tourist,13,2.0,1.0,1.0,1.0,7.0,0.0,0.0,0.07121026279535644,0.07121026279535644,0.5384615384615384,MALE,1910
natter,40,6.0,3.0,15.0,3.0,7.0,0.0021825396825396826,0.053571428571428575,0.025033229932536753,0.025033229932536753,0.5249999999999999,MALE,1910
paul,51,9.0,6.0,13.0,3.0,8.0,0.03333333333333333,0.099484126984127,0.023552495828662534,0.023552495828662534,0.47058823529411764,MALE,1910
gustl,25,7.0,5.0,10.0,2.0,3.0,0.025000000000000005,0.06551587301587301,0.024608020014779387,0.024608020014779387,0.24,MALE,1910
serknitz,17,3.0,1.0,1.0,2.0,2.0,0.0035714285714285718,0.025,0.009364857196949523,0.009364857196949523,0.23529411764705882,MALE,1910
meyer,10,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.07121026279535644,0.07121026279535644,0.2,MALE,1910
stubenmaedchen,7,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.008635276647046539,0.008635276647046539,0.14285714285714285,FEMALE,1910
stanzides,10,4.0,3.0,3.0,1.0,1.0,0.0,0.07222222222222222,0.010850150009232881,0.010850150009232881,0.1,MALE,1910
rosenstock,44,8.0,6.0,16.0,2.0,2.0,0.09047619047619049,0.09047619047619049,0.14997061153955954,0.14997061153955954,0.09090909090909091,MALE,1910
penn,10,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.016828652797684016,0.016828652797684016,0.0,MALE,1910
