,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
wegrat,67,13.0,6.0,7.0,29.0,0.09255952380952381,0.5446428571428571,0.04344298662022583,0.04344298662022583,3.0298507462686564,MALE,1904
julian,230,11.0,4.0,7.0,80.0,0.16339285714285715,0.125,0.17689883338909235,0.17689883338909235,2.4347826086956523,MALE,1904
felix,214,13.0,7.0,6.0,73.0,0.1395833333333333,0.08928571428571427,0.18563971663478857,0.18563971663478857,2.046728971962617,MALE,1904
sala,244,11.0,6.0,5.0,75.0,0.075,0.10714285714285714,0.24417972309527655,0.24417972309527655,1.5368852459016393,MALE,1904
frau_wegrat,29,7.0,3.0,4.0,11.0,0.0,0.1607142857142857,0.026692229535710092,0.026692229535710092,1.5172413793103448,FEMALE,1904
doktor_reumann,60,10.0,5.0,5.0,16.0,0.06071428571428571,0.21428571428571427,0.0655446388518465,0.0655446388518465,1.3333333333333333,MALE,1904
irene,88,6.0,3.0,3.0,27.0,0.0,0.017857142857142856,0.07130275536411375,0.07130275536411375,0.9204545454545454,FEMALE,1904
johanna,152,8.0,5.0,3.0,44.0,0.004464285714285714,0.0,0.16581861721796226,0.16581861721796226,0.868421052631579,FEMALE,1904
diener_bei_fichtner,6,1.0,1.0,0.0,0.0,0.0,0.0,0.020480499290983997,0.020480499290983997,0.0,MALE,1904
stubenmaedchen,1,,,,,,,,,,FEMALE,1904
diener_bei_sala,1,,,,,,,,,,MALE,1904
