,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
wirt,149,25,12,13,40,0.40415490306794644,0.3280138339920948,0.22440451617903406,0.22440451617903406,3.48993288590604,MALE,1899
albin,55,16,8,8,21,0.0712497647280256,0.10787220026350461,0.06606942030526611,0.06606942030526611,3.0545454545454547,MALE,1899
die_schauspieler,3,3,0,3,3,0.0,0.0,0.006782094549510102,0.006782094549510102,3.0,,1899
severine,41,12,5,7,15,0.12623753058535667,0.22509881422924902,0.03706744395665182,0.03706744395665182,2.5609756097560976,FEMALE,1899
marquis,23,9,4,5,8,0.07508469791078487,0.1048748353096179,0.0387849301342586,0.0387849301342586,1.7391304347826086,MALE,1899
michette,18,9,4,5,5,0.06189064558629775,0.14924242424242423,0.03754905100584631,0.03754905100584631,1.3888888888888888,FEMALE,1899
flipotte,9,4,1,3,3,0.002470355731225296,0.046590909090909086,0.013165506237536512,0.013165506237536512,1.0,FEMALE,1899
herzog,39,6,3,3,13,0.0,0.0,0.04823516963177018,0.04823516963177018,1.0,MALE,1899
francois,71,15,10,5,14,0.1293148880105402,0.12686100131752304,0.09838414904953405,0.09838414904953405,0.9859154929577464,MALE,1899
maurice,10,7,4,3,3,0.006192358366271408,0.06884057971014493,0.03292213993799833,0.03292213993799833,0.8999999999999999,MALE,1899
scaevola,32,12,8,4,7,0.07711274233013364,0.10858036890645587,0.04661348574762157,0.04661348574762157,0.875,MALE,1899
henri,40,9,5,4,8,0.04595332204027856,0.05965085638998682,0.06599873845223272,0.06599873845223272,0.8,MALE,1899
grasset,43,8,4,4,8,0.05258799171842649,0.07020750988142292,0.04242080910434897,0.04242080910434897,0.7441860465116279,MALE,1899
rollin,29,9,5,4,5,0.02680218332392245,0.06388339920948616,0.02881281582071317,0.02881281582071317,0.6896551724137931,MALE,1899
leocadie,18,5,2,3,4,0.0006587615283267456,0.0,0.039880836095461406,0.039880836095461406,0.6666666666666666,FEMALE,1899
jules,7,3,1,2,2,0.0,0.0,0.01631898744065218,0.01631898744065218,0.5714285714285714,MALE,1899
georgette,10,3,1,2,2,0.04199604743083004,0.0470026350461133,0.008882573557631283,0.008882573557631283,0.4,FEMALE,1899
lebret,20,3,1,2,4,0.0,0.0069499341238471665,0.011289438969973496,0.011289438969973496,0.4,MALE,1899
etienne,3,1,0,1,1,0.0,0.0,0.006782094549510102,0.006782094549510102,0.3333333333333333,MALE,1899
grain,35,3,2,1,6,0.004776021080368906,0.0,0.06296525796479888,0.06296525796479888,0.17142857142857143,MALE,1899
kommissaer,24,4,3,1,4,0.037549407114624504,0.037549407114624504,0.034307297984655774,0.034307297984655774,0.16666666666666666,MALE,1899
guillaume,9,1,0,1,1,0.0,0.0,0.006782094549510102,0.006782094549510102,0.1111111111111111,MALE,1899
balthasar,9,2,1,1,1,0.001976284584980237,0.006488801054018445,0.010557212621181124,0.010557212621181124,0.1111111111111111,MALE,1899
rufe_draussen_einige_andere_die_buerger,7,1,1,0,0,0.0,0.0,0.01502393615430308,0.01502393615430308,0.0,,1899
