,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
julia,54,13,5,16,8,30,0.1478975215817321,0.13011695906432746,0.07002335911681312,0.07002335911681312,4.444444444444445,FEMALE,1924
ambros,56,15,7,13,8,18,0.2480924533556112,0.45614035087719296,0.061290814259057136,0.061290814259057136,2.5714285714285716,MALE,1924
max,113,11,5,34,6,32,0.3001810080757449,0.26023391812865493,0.12128442448834272,0.12128442448834272,1.6991150442477876,MALE,1924
judith,92,9,4,39,5,31,0.07179058758006125,0.0,0.13652699311174993,0.13652699311174993,1.684782608695652,FEMALE,1924
aurelie,62,8,4,16,4,26,0.16374269005847952,0.16374269005847952,0.07057587600467267,0.07057587600467267,1.6774193548387097,FEMALE,1924
seraphine,71,9,4,16,5,17,0.11545530492898914,0.04824561403508772,0.08222134862692632,0.08222134862692632,1.1971830985915493,FEMALE,1924
braunigl,19,5,2,8,3,6,0.02549429128376497,0.0804093567251462,0.02591185642439503,0.02591185642439503,0.9473684210526315,MALE,1924
arduin,20,4,2,6,2,7,0.0,0.043859649122807015,0.026004468322892757,0.026004468322892757,0.7,MALE,1924
albine,6,2,0,0,2,2,0.0,0.0,0.008219224080436086,0.008219224080436086,0.6666666666666666,FEMALE,1924
ida,6,2,0,0,2,2,0.0,0.0,0.008219224080436086,0.008219224080436086,0.6666666666666666,FEMALE,1924
diener,2,1,0,0,1,1,0.0,0.0,0.008219224080436086,0.008219224080436086,0.5,MALE,1924
westerhaus,31,6,4,14,2,7,0.05038986354775828,0.09064327485380116,0.06041320159876929,0.06041320159876929,0.45161290322580644,MALE,1924
eligius,29,6,3,4,3,4,0.04470899470899471,0.07748538011695906,0.02161208146986537,0.02161208146986537,0.41379310344827586,MALE,1924
gysar,30,4,2,12,2,5,0.0,0.043859649122807015,0.036757206216496925,0.036757206216496925,0.3333333333333333,MALE,1924
elisabeth,20,5,3,3,2,3,0.03362573099415204,0.11842105263157894,0.017828330235182113,0.017828330235182113,0.3,FEMALE,1924
leindorf,12,6,5,6,1,2,0.024491785018100808,0.043859649122807015,0.03231369254923417,0.03231369254923417,0.16666666666666666,MALE,1924
fuerstin,12,3,2,2,1,2,0.0,0.0,0.09071930302726114,0.09071930302726114,0.16666666666666666,FEMALE,1924
skodny,8,2,1,1,1,1,0.0,0.0,0.01020322889649911,0.01020322889649911,0.125,MALE,1924
heyskal,10,5,4,5,1,1,0.010971874129768865,0.03216374269005848,0.09473325776103776,0.09473325776103776,0.1,MALE,1924
meyerhofer,6,2,2,2,0,0,0.0,0.0,0.01692288564949635,0.01692288564949635,0.0,MALE,1924
