,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_gatte,198,4.0,2.0,55.0,2.0,76.0,0.2222222222222222,0.1111111111111111,0.09973061136540724,0.09973061136540724,0.7676767676767676,MALE,1903
der_dichter,171,4.0,2.0,49.0,2.0,54.0,0.2222222222222222,0.1388888888888889,0.10401568613408788,0.10401568613408788,0.631578947368421,MALE,1903
dirne,83,4.0,2.0,27.0,2.0,25.0,0.2222222222222222,0.3611111111111111,0.12026429348432689,0.12026429348432689,0.6024096385542169,FEMALE,1903
schauspielerin,172,4.0,2.0,42.0,2.0,50.0,0.2222222222222222,0.2222222222222222,0.1090398742544024,0.1090398742544024,0.5813953488372093,FEMALE,1903
die_junge_frau,189,4.0,2.0,39.0,2.0,52.0,0.2222222222222222,0.19444444444444442,0.07377018710227543,0.07377018710227543,0.5502645502645502,FEMALE,1903
das_suesse_maedel,211,4.0,2.0,81.0,2.0,57.0,0.2222222222222222,0.08333333333333333,0.11943765104802423,0.11943765104802423,0.5402843601895735,FEMALE,1903
graf,132,4.0,2.0,44.0,2.0,35.0,0.2222222222222222,0.3055555555555555,0.13679609441702978,0.13679609441702978,0.5303030303030303,MALE,1903
stubenmaedchen,81,4.0,2.0,17.0,2.0,17.0,0.2222222222222222,0.3333333333333333,0.07748799411097099,0.07748799411097099,0.41975308641975306,FEMALE,1903
soldat,81,4.0,2.0,21.0,2.0,15.0,0.2222222222222222,0.3611111111111111,0.09786404336459917,0.09786404336459917,0.37037037037037035,MALE,1903
der_junge_herr,161,4.0,2.0,32.0,2.0,26.0,0.2222222222222222,0.2777777777777778,0.061593564718875865,0.061593564718875865,0.32298136645962733,MALE,1903
