,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
held,59,13.0,3.0,11.0,10.0,17.0,0.1645021645021645,0.1645021645021645,0.14015541601510026,0.14015541601510026,2.88135593220339,MALE,1906
ernster,16,6.0,3.0,6.0,3.0,7.0,0.047619047619047616,0.047619047619047616,0.10825910369836828,0.10825910369836828,1.3125,MALE,1906
liesl,25,7.0,4.0,9.0,3.0,7.0,0.07142857142857142,0.07142857142857142,0.1037960167223624,0.1037960167223624,0.8400000000000001,FEMALE,1906
direktor,25,5.0,1.0,2.0,4.0,5.0,0.03463203463203463,0.03463203463203463,0.04415853142523678,0.04415853142523678,0.8,MALE,1906
der_bissige,24,5.0,1.0,5.0,4.0,4.0,0.045454545454545456,0.045454545454545456,0.03147409060047396,0.03147409060047396,0.6666666666666666,MALE,1906
braeutigam,2,3.0,2.0,2.0,1.0,1.0,0.0,0.010822510822510822,0.033551102114299944,0.033551102114299944,0.5,MALE,1906
zweiter_skandalmacher,2,2.0,1.0,1.0,1.0,1.0,0.017316017316017316,0.017316017316017316,0.03174516077903955,0.03174516077903955,0.5,MALE,1906
herzogin,8,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.027955213681520274,0.027955213681520274,0.375,FEMALE,1906
der_dichter,33,6.0,3.0,6.0,3.0,4.0,0.05627705627705628,0.05627705627705628,0.07110044753536503,0.07110044753536503,0.36363636363636365,MALE,1906
graf,3,2.0,1.0,1.0,1.0,1.0,0.012987012987012988,0.012987012987012988,0.02144707615506202,0.02144707615506202,0.3333333333333333,MALE,1906
heiterer,9,3.0,2.0,4.0,1.0,3.0,0.0,0.0,0.060383654931272054,0.060383654931272054,0.3333333333333333,MALE,1906
der_wohlwollende,17,2.0,1.0,1.0,1.0,5.0,0.0,0.0,0.020628202880638435,0.020628202880638435,0.29411764705882354,MALE,1906
der_naive,17,3.0,2.0,2.0,1.0,3.0,0.030303030303030304,0.030303030303030304,0.028135423914372956,0.028135423914372956,0.17647058823529413,MALE,1906
tod,6,2.0,1.0,1.0,1.0,1.0,0.03463203463203463,0.03463203463203463,0.020947534401423887,0.020947534401423887,0.16666666666666666,UNKNOWN,1906
der_herr,6,2.0,1.0,1.0,1.0,1.0,0.0,0.003246753246753247,0.02144707615506202,0.02144707615506202,0.16666666666666666,MALE,1906
raesoneur,9,3.0,2.0,2.0,1.0,1.0,0.0,0.006493506493506494,0.03409290791137328,0.03409290791137328,0.1111111111111111,MALE,1906
erster_skandalmacher,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.020947534401423887,0.020947534401423887,0.0,MALE,1906
andere_einige_viele,11,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.047611734015214346,0.047611734015214346,0.0,,1906
die_anderen_figuren_marionetten,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03217031731297839,0.03217031731297839,0.0,,1906
meister,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.029049193273282137,0.029049193273282137,0.0,MALE,1906
herzog,9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.020947534401423887,0.020947534401423887,0.0,MALE,1906
der_diener,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.020947534401423887,0.020947534401423887,0.0,MALE,1906
der_unbekannte,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.029049193273282137,0.029049193273282137,,MALE,1906
