,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
poell,62,16.0,6.0,13.0,10.0,17.0,0.14316239316239315,0.14102564102564102,0.14239727455230267,0.14239727455230267,2.7419354838709675,MALE,1784
lieschen,35,10.0,5.0,7.0,5.0,11.0,0.07158119658119659,0.07692307692307693,0.060553193622192907,0.060553193622192907,1.5714285714285714,FEMALE,1784
roeschen,26,10.0,5.0,8.0,5.0,8.0,0.09775641025641026,0.14316239316239315,0.0675195228296968,0.0675195228296968,1.5384615384615385,FEMALE,1784
fuerst,39,6.0,1.0,1.0,5.0,11.0,0.023504273504273504,0.04166666666666666,0.023603045428677073,0.023603045428677073,1.4102564102564101,MALE,1784
margrethe,47,9.0,4.0,15.0,5.0,12.0,0.026709401709401705,0.0,0.10121467364482026,0.10121467364482026,1.276595744680851,FEMALE,1784
klafter,104,11.0,5.0,12.0,6.0,22.0,0.12393162393162395,0.11538461538461538,0.14265622653840698,0.14265622653840698,1.2692307692307692,MALE,1784
amtmann,69,9.0,3.0,11.0,6.0,14.0,0.08012820512820512,0.06517094017094016,0.06593754414598216,0.06593754414598216,1.2173913043478262,MALE,1784
leopoldine,47,9.0,5.0,7.0,4.0,6.0,0.07211538461538461,0.13141025641025642,0.06201431224922338,0.06201431224922338,0.5106382978723404,FEMALE,1784
weiler,41,7.0,4.0,6.0,3.0,5.0,0.008012820512820512,0.05769230769230769,0.04950009106543865,0.04950009106543865,0.36585365853658536,MALE,1784
belt,69,8.0,6.0,20.0,2.0,4.0,0.01976495726495726,0.052350427350427345,0.1493881469404274,0.1493881469404274,0.11594202898550725,MALE,1784
bedienter,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.02994710293231905,0.02994710293231905,0.0,MALE,1784
ordonanz,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.02693063019209819,0.02693063019209819,0.0,MALE,1784
kant,19,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0522403169586421,0.0522403169586421,0.0,MALE,1784
willhelm,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.026097918899772053,0.026097918899772053,0.0,MALE,1784
