,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
wagner,210,12.0,7.0,5.0,65.0,0.21230158730158727,0.23809523809523808,0.29162997732050555,0.29162997732050555,1.5476190476190477,MALE,1784
mad_wagner,165,12.0,6.0,6.0,42.0,0.18055555555555552,0.23412698412698407,0.16417734811028228,0.16417734811028228,1.5272727272727271,FEMALE,1784
charlotte,68,10.0,4.0,6.0,16.0,0.0734126984126984,0.38492063492063494,0.08433116667804551,0.08433116667804551,1.4117647058823528,FEMALE,1784
fritz,17,4.0,1.0,3.0,5.0,0.0,0.0,0.0378179688912505,0.0378179688912505,0.8823529411764706,MALE,1784
sivers-steinburg,104,8.0,5.0,3.0,27.0,0.007936507936507936,0.0,0.1218509144195796,0.1218509144195796,0.778846153846154,MALE,1784
wilhelm,37,6.0,2.0,4.0,7.0,0.0,0.0,0.04548080747335796,0.04548080747335796,0.7567567567567568,MALE,1784
sophie,116,10.0,6.0,4.0,18.0,0.041666666666666664,0.05158730158730158,0.1870062025819061,0.1870062025819061,0.6206896551724138,FEMALE,1784
malldorf,45,6.0,3.0,3.0,6.0,0.007936507936507936,0.11904761904761904,0.0677056145250724,0.0677056145250724,0.4,MALE,1784
kaufmannsdiener,4,,,,,,,,,,MALE,1784
dienstmaedchen,1,,,,,,,,,,FEMALE,1784
gerichtsdiener,4,,,,,,,,,,MALE,1784
