,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
miltiades,60,14.0,6.0,8.0,16.0,0.5151515151515151,0.5,0.190100213541456,0.190100213541456,2.1333333333333333,MALE,1808
kleon,32,8.0,4.0,4.0,11.0,0.33333333333333337,0.3484848484848485,0.17251034923072112,0.17251034923072112,1.375,MALE,1808
themistokles,16,5.0,2.0,3.0,5.0,0.015151515151515152,0.05681818181818182,0.04319027713540334,0.04319027713540334,0.9375,MALE,1808
aristides,27,6.0,3.0,3.0,6.0,0.10606060606060606,0.09848484848484848,0.08165360556822476,0.08165360556822476,0.6666666666666666,MALE,1808
demosthenes,15,4.0,1.0,3.0,3.0,0.18181818181818182,0.19318181818181818,0.048185044169503456,0.048185044169503456,0.6000000000000001,MALE,1808
xanthippus,17,4.0,2.0,2.0,4.0,0.022727272727272728,0.030303030303030304,0.05831087084633046,0.05831087084633046,0.47058823529411764,MALE,1808
epizelus,8,2.0,1.0,1.0,3.0,0.0,0.0,0.048185044169503456,0.048185044169503456,0.375,MALE,1808
lysikrates,20,2.0,1.0,1.0,3.0,0.0,0.0,0.10150793026153031,0.10150793026153031,0.15,MALE,1808
cimon,15,2.0,1.0,1.0,2.0,0.0,0.0,0.06192005798287172,0.06192005798287172,0.13333333333333333,MALE,1808
elpinice,10,2.0,1.0,1.0,1.0,0.0,0.0,0.04172182955318087,0.04172182955318087,0.1,FEMALE,1808
ein_krieger,1,1.0,1.0,0.0,0.0,0.0,0.0,0.03162271533833545,0.03162271533833545,0.0,MALE,1808
chor_hemichor,6,3.0,3.0,0.0,0.0,0.0,0.0,0.07937023264975832,0.07937023264975832,0.0,,1808
philippus,4,1.0,1.0,0.0,0.0,0.0,0.0,0.04172182955318087,0.04172182955318087,0.0,MALE,1808
aeschylus,5,,,,,,,,,,MALE,1808
